#,Player,Pos,Team,AVG,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL
46,Derrick Henry,RB,TEN,14.3,13.9,18.5,2,24.4,9.2,19.3,-,16.2,19.2,3,5.4,20.6,25,18.1,5,,,,199.8
47,Jordan Addison,WR,MIN,14.2,16.1,16.2,11.2,0,18.4,11.8,31.3,21.4,10.2,10.9,7.4,9.9,-,4.7,29.1,,,,198.6
48,Nico Collins,WR,HOU,16.4,14,27.6,5.4,35.8,6.9,12,-,7,14.4,-,13.5,23.4,34.1,2.3,-,,,,196.4
49,Tony Pollard,RB,DAL,13.9,22.2,19.9,15.1,9,8.4,17,-,6.5,9.3,5.5,18,22.3,17.3,16.6,7.7,,,,194.8
50,Jaylen Waddle,WR,MIA,14.8,11.8,12.4,-,8.6,14.5,18.1,12.3,25.1,8.4,-,9.5,19.4,10.2,13.9,28.2,,,,192.4
51,DK Metcalf,WR,SEA,14.8,13.7,13.5,17.2,12.4,-,10.9,-,11.7,6,16.8,20.4,6.2,37.4,13.2,12.8,,,,192.2
52,Breece Hall,RB,NYJ,13.6,15.7,0.9,3.7,9.9,28.4,20.3,-,21.3,10,10.5,18.3,11.9,10.5,26.6,2.8,,,,190.8
53,Bijan Robinson,RB,ATL,13.5,20.3,21.2,10,18.7,11.8,13,0.3,12.2,5.9,17.6,-,27.3,10.9,19.8,0.4,,,,189.4
54,Courtland Sutton,WR,DEN,13.5,13.2,11.6,19.1,11.7,2.3,14.6,19.6,10.9,-,17.3,16.6,9.1,15.7,15.2,12.1,,,,189
55,Chris Olave,WR,NO,14.4,19.2,14.6,18.4,1.4,9.2,16.6,12.7,9.6,16.6,21.4,-,18.4,16.9,12.8,-,,,,187.8
55,DeAndre Hopkins,WR,TEN,13.4,13.5,8,7.8,10.3,22,3,-,34.8,10.5,5.7,15.9,7.9,18.9,25.4,4.1,,,,187.8
57,Rashee Rice,WR,KC,13.1,11.6,4,10.9,6.2,13.3,11.2,17,9.6,9.7,-,8.2,24.7,14.4,18.2,24.1,,,,183.1
58,Garrett Wilson,WR,NYJ,13,14.4,16.3,9.8,15,8.4,17,-,17.6,13,18.3,0.9,17.4,8,20.1,5.9,,,,182.1
59,Geno Smith,QB,SEA,15.1,9.1,23.1,16.4,9.2,-,13,14.8,15.9,3.7,24.1,13.2,8.3,31,-,-,,,,181.7
60,Josh Jacobs,RB,LV,13.9,9.1,9.9,11,27.9,19.9,11.3,5.1,16.8,21.8,12.7,6.1,22.5,-,7,-,,,,181.1
61,Derek Carr,QB,NO,12.9,15.6,7.7,8.1,3.2,15.7,17.3,18.4,18.3,16.7,5.4,-,11.9,9.9,11.8,20.3,,,,180.4
62,Justin Fields,QB,CHI,18,15.5,16.7,11.7,28.9,33,5.9,-,-,-,-,21.2,10.6,-,24.7,11.6,,,,179.8
63,Jakobi Meyers,WR,LV,13.7,29.1,-,15.5,5.3,20.5,17.1,18,2.9,13.5,4.1,8.9,20.1,-,7.5,15.7,,,,178.2
64,George Kittle,TE,SF,12.7,4.9,6,16,1.9,27.7,1.1,13,23.9,-,20.6,22.9,4.9,10.8,16.6,7.4,,,,177.7
65,Evan Engram,TE,JAC,12.6,9.9,11.7,13.7,12.9,6.8,11.1,9.5,16.8,-,5.2,6.9,9.9,23.2,32.5,6.8,,,,176.9
66,D'Andre Swift,RB,PHI,12.6,1.3,27.1,14.8,17.9,16.8,17.8,10.5,14.4,9.4,-,19.7,9.4,4,3.9,9.5,,,,176.5
67,Brian Robinson,RB,WAS,13.5,13.6,28.9,7,13.1,8.3,13.6,8.3,9.9,11.7,27.7,20.2,8.4,5.3,-,-,,,,176
