PLAYER,POS,TGT,TGT/G,COMPLETION %,RUSHING ATT,RA/G,G,FPTS,FPTS/G
Mike Strachan (IND),WR,0,,,0,,0,0.0,0.0
J.J. Koski (LAR),WR,0,,,0,,0,0.0,0.0
Elijah Moore (NYJ),WR,0,,,0,,0,0.0,0.0
Shi Smith (CAR),WR,0,,,0,,0,0.0,0.0
Tutu Atwell (LAR),WR,0,,,0,,0,0.0,0.0
Anthony Schwartz (CLE),WR,0,,,0,,0,0.0,0.0
Dazz Newsome (CHI),WR,0,,,0,,0,0.0,0.0
Kadarius Toney (NYG),WR,0,,,0,,0,0.0,0.0
Seth Williams (DEN),WR,0,,,0,,0,0.0,0.0
T.J. Vasher (DAL),WR,0,,,0,,0,0.0,0.0
Ihmir Smith-Marsette (MIN),WR,0,,,0,,0,0.0,0.0
Dyami Brown (WAS),WR,0,,,0,,0,0.0,0.0
Dez Fitzpatrick (TEN),WR,0,,,0,,0,0.0,0.0
Demetric Felton (CLE),WR,0,,,0,,0,0.0,0.0
Pooka Williams Jr. (CIN),WR,0,,,0,,0,0.0,0.0
Andre Baccellia (ARI),WR,0,,,0,,0,0.0,0.0
Maurice Ffrench (LAC),WR,0,,,0,,0,0.0,0.0
Jeff Cotton (JAC),WR,0,,,0,,0,0.0,0.0
Nico Collins (HOU),WR,0,,,0,,0,0.0,0.0
Marquez Stevenson (BUF),WR,0,,,0,,0,0.0,0.0
Amari Rodgers (GB),WR,0,,,0,,0,0.0,0.0
Gehrig Dieter (KC),WR,0,,,0,,0,0.0,0.0
Isaiah McKenzie (BUF),WR,0,,,0,,0,0.0,0.0
Marvin Jones Jr. (JAC),WR,0,,,0,,0,0.0,0.0
Travis Benjamin (SF),WR,0,,,0,,0,0.0,0.0
Patrick Edwards (DET),WR,0,,,0,,0,0.0,0.0
T.Y. Hilton (IND),WR,0,,,0,,0,0.0,0.0
Cole Beasley (BUF),WR,0,,,0,,0,0.0,0.0
Josh Gordon (KC),WR,0,,,0,,0,0.0,0.0
Kevin Cone (FA),WR,0,0.0,,0,0.0,1,0.0,0.0
Michael Calvin (TEN),WR,0,,,0,,0,0.0,0.0
Terrelle Pryor Sr. (FA),WR,0,0.0,,0,0.0,1,0.0,0.0
Dane Sanzenbacher (FA),WR,54,3.38,50.0,1,0.06,16,0.0,0.0
Ricardo Lockette (FA),WR,4,2.0,50.0,0,0.0,2,0.0,0.0
DeMarco Sampson (FA),WR,8,0.67,37.5,0,0.0,12,0.0,0.0
Stephen Burton (FA),WR,3,1.0,66.67,0,0.0,3,0.0,0.0
Scotty McKnight (NYJ),WR,0,,,0,,0,0.0,0.0
Dwayne Harris (FA),WR,0,0.0,,0,0.0,7,0.0,0.0
Ryan Whalen (FA),WR,5,1.25,80.0,0,0.0,4,0.0,0.0
Jeremy Kerley (FA),WR,47,3.36,61.7,5,0.36,14,0.0,0.0
Denarius Moore (FA),WR,76,5.85,43.42,5,0.38,13,0.0,0.0
Kealoha Pilares (FA),WR,0,0.0,,0,0.0,12,0.0,0.0
Cecil Shorts (FA),WR,12,1.2,16.67,0,0.0,10,0.0,0.0
Greg Salas (FA),WR,38,6.33,71.05,1,0.17,6,0.0,0.0
Edmond Gates (FA),WR,12,0.8,16.67,1,0.07,15,0.0,0.0
Kris Durham (FA),WR,4,1.33,75.0,0,0.0,3,0.0,0.0
Vincent Brown (FA),WR,40,2.86,47.5,0,0.0,14,0.0,0.0
Greg Little (FA),WR,121,7.56,50.41,3,0.19,16,0.0,0.0
Austin Pettis (FA),WR,48,4.0,56.25,1,0.08,12,0.0,0.0
Tandon Doss (FA),WR,2,0.33,0.0,0,0.0,6,0.0,0.0
Demario Ballard (DET),WR,0,,,0,,0,0.0,0.0
Mohamed Sanu Sr. (SF),WR,0,,,0,,0,0.0,0.0
Joe Hastings (FA),WR,1,1.0,0.0,0,0.0,1,0.0,0.0
Trindon Holliday (FA),WR,0,0.0,,0,0.0,1,0.0,0.0
Kamar Aiken (FA),WR,0,0.0,,0,0.0,2,0.0,0.0
Eron Riley (NYJ),WR,0,,,0,,0,0.0,0.0
Terrence Austin (FA),WR,26,2.0,46.15,0,0.0,13,0.0,0.0
Andrew Hawkins (FA),WR,34,2.62,67.65,5,0.38,13,0.0,0.0
Jamar Newsome (FA),WR,1,0.5,0.0,0,0.0,2,0.0,0.0
LaQuan Williams (FA),WR,12,1.0,33.33,0,0.0,12,0.0,0.0
Doug Baldwin (FA),WR,87,5.44,58.62,1,0.06,16,0.0,0.0
Bryan Walters (FA),WR,4,1.0,75.0,0,0.0,4,0.0,0.0
Dezmon Briscoe (FA),WR,51,3.19,68.63,0,0.0,16,0.0,0.0
Jeff Maehl (FA),WR,1,0.33,0.0,0,0.0,3,0.0,0.0
Leonard Hankerson (FA),WR,20,5.0,65.0,0,0.0,4,0.0,0.0
Sammy Watkins (BAL),WR,0,,,0,,0,0.0,0.0
Mike Evans (TB),WR,0,,,0,,0,0.0,0.0
Jarvis Landry (CLE),WR,0,,,0,,0,0.0,0.0
Odell Beckham Jr. (LAR),WR,0,,,0,,0,0.0,0.0
Allen Robinson II (CHI),WR,0,,,0,,0,0.0,0.0
Donte Moncrief (HOU),WR,0,,,0,,0,0.0,0.0
Jordan Matthews (SF),WR,0,,,0,,0,0.0,0.0
Davante Adams (GB),WR,0,,,0,,0,0.0,0.0
Brandin Cooks (HOU),WR,0,,,0,,0,0.0,0.0
Jaron Brown (ARI),WR,0,,,0,,0,0.0,0.0
DeAndre Hopkins (ARI),WR,0,,,0,,0,0.0,0.0
Marquise Goodwin (CHI),WR,0,,,0,,0,0.0,0.0
Kenny Stills (NO),WR,0,,,0,,0,0.0,0.0
Robert Woods (LAR),WR,0,,,0,,0,0.0,0.0
Cordarrelle Patterson (ATL),WR,0,,,0,,0,0.0,0.0
Tavon Austin (JAC),WR,0,,,0,,0,0.0,0.0
Keenan Allen (LAC),WR,0,,,0,,0,0.0,0.0
Torrey Smith (FA),WR,96,6.0,52.08,4,0.25,16,0.0,0.0
John Standeford (DET),WR,0,,,0,,0,0.0,0.0
Jerricho Cotchery (FA),WR,30,2.31,53.33,1,0.08,13,0.0,0.0
Jerome Simpson (FA),WR,105,6.56,47.62,0,0.0,16,0.0,0.0
Jeremy Maclin (FA),WR,97,7.46,64.95,1,0.08,13,0.0,0.0
Jason Avant (FA),WR,81,5.06,64.2,0,0.0,16,0.0,0.0
Jarett Dillard (FA),WR,50,3.57,58.0,0,0.0,14,0.0,0.0
James Jones (FA),WR,55,3.44,69.09,0,0.0,16,0.0,0.0
Jacoby Jones (FA),WR,65,4.06,47.69,4,0.25,16,0.0,0.0
Hakeem Nicks (FA),WR,133,8.87,57.14,0,0.0,15,0.0,0.0
Greg Jennings (FA),WR,101,7.77,66.34,0,0.0,13,0.0,0.0
Eric Weems (FA),WR,14,0.88,78.57,0,0.0,16,0.0,0.0
Eddie Royal (FA),WR,50,4.17,38.0,7,0.58,12,0.0,0.0
Malcom Floyd (FA),WR,70,5.83,61.43,0,0.0,12,0.0,0.0
Louis Murphy (FA),WR,33,3.0,45.45,6,0.55,11,0.0,0.0
Lavelle Hawkins (FA),WR,77,4.81,61.04,0,0.0,16,0.0,0.0
Lance Moore (FA),WR,73,5.21,71.23,0,0.0,14,0.0,0.0
Lance Long (SF),WR,0,,,0,,0,0.0,0.0
Kevin Walter (FA),WR,59,3.93,66.1,0,0.0,15,0.0,0.0
Kevin Ogletree (FA),WR,26,1.86,57.69,2,0.14,14,0.0,0.0
Kenny McKinley (DEN),WR,0,,,0,,0,0.0,0.0
Kenny Britt (FA),WR,26,8.67,65.38,0,0.0,3,0.0,0.0
Kassim Osgood (FA),WR,11,0.92,45.45,0,0.0,12,0.0,0.0
Juaquin Iglesias (MIN),WR,0,,,0,,0,0.0,0.0
Josh Morgan (FA),WR,20,4.0,75.0,0,0.0,5,0.0,0.0
Josh Cribbs (FA),WR,67,4.19,61.19,7,0.44,16,0.0,0.0
Jordy Nelson (FA),WR,96,6.0,70.83,0,0.0,16,0.0,0.0
Earl Bennett (FA),WR,43,3.91,55.81,0,0.0,11,0.0,0.0
Dwayne Bowe (FA),WR,141,8.81,57.45,1,0.06,16,0.0,0.0
Brandon Gibson (FA),WR,71,4.73,50.7,2,0.13,15,0.0,0.0
Brian Robiskie (FA),WR,9,1.5,33.33,0,0.0,6,0.0,0.0
Brian Hartline (FA),WR,66,4.12,53.03,1,0.06,16,0.0,0.0
Brett Swain (FA),WR,7,1.4,28.57,0,0.0,5,0.0,0.0
Braylon Edwards (FA),WR,34,3.78,44.12,0,0.0,9,0.0,0.0
Brandon Tate (FA),WR,0,0.0,,0,0.0,16,0.0,0.0
Brandon Stokley (FA),WR,3,1.5,33.33,0,0.0,2,0.0,0.0
Brandon Marshall (FA),WR,142,8.88,57.04,1,0.06,16,0.0,0.0
Brandon Lloyd (FA),WR,148,9.87,47.3,0,0.0,15,0.0,0.0
Brad Smith (FA),WR,42,2.8,54.76,20,1.33,15,0.0,0.0
Bobby Wade (WAS),WR,0,,,0,,0,0.0,0.0
Ben Obomanu (FA),WR,61,3.81,60.66,1,0.06,16,0.0,0.0
Austin Collie (FA),WR,97,6.06,55.67,0,0.0,16,0.0,0.0
Anquan Boldin (FA),WR,106,7.57,53.77,0,0.0,14,0.0,0.0
Andre Johnson (FA),WR,51,7.29,64.71,1,0.14,7,0.0,0.0
Calvin Johnson (FA),WR,158,9.88,60.76,1,0.06,16,0.0,0.0
Donnie Avery (FA),WR,11,1.38,27.27,0,0.0,8,0.0,0.0
