Rusher,Team,Avg. Raw Fpts,Avg. Rushing Attempt,Avg. Rushing Yards,Avg. Rushing Share,Avg. Rushing Yards Share,Redzone Looks,yards_gained,touchdown,total_fpts
T.Perry,CIN,2.3000000000000003,1.0,3.0,4.156666666666666,2.6,1,9.0,1.0,6.9
A.Wright,BAL,1.1333333333333335,3.0,11.333333333333334,10.575000000000001,10.145000000000001,0,68.0,0.0,6.800000000000001
K.Curtis,LA,6.5,1.0,5.0,3.7,4.59,1,5.0,1.0,6.5
J.Griffith,ATL,1.3000000000000003,3.0,13.0,7.5840000000000005,6.7540000000000004,0,65.0,0.0,6.5
B.Favre,GB,0.476923076923077,1.3846153846153846,4.769230769230769,5.333076923076923,5.111538461538462,0,62.0,0.0,6.2
G.Frerotte,MIA,0.6100000000000001,2.7,6.1,8.389,6.154999999999999,0,61.0,0.0,6.1000000000000005
J.Sowell,NYJ,6.1,1.0,1.0,4.0,1.12,1,1.0,1.0,6.1
M.Sellers,WAS,6.1,1.0,1.0,3.45,1.28,1,1.0,1.0,6.1
M.Cloud,NE,0.9833333333333334,4.0,9.833333333333334,13.133333333333333,5.736666666666667,0,59.0,0.0,5.9
B.Askew,NYJ,2.95,6.5,29.5,18.465,17.455000000000002,0,59.0,0.0,5.9
T.Glenn,DAL,2.8,1.0,-2.0,3.87,-6.294999999999999,1,-4.0,1.0,5.6
E.Parker,LAC,1.375,1.0,13.75,3.01,6.6175,0,55.0,0.0,5.5
B.Johnson,MIN,0.7571428571428572,2.5714285714285716,7.571428571428571,9.461428571428572,8.518571428571429,0,53.0,0.0,5.300000000000001
D.Blaylock,NYJ,0.8833333333333334,2.8333333333333335,8.833333333333334,14.521666666666667,13.796666666666667,0,53.0,0.0,5.300000000000001
A.Whitted,LV,2.5500000000000003,1.0,25.5,5.115,27.255000000000003,0,51.0,0.0,5.1000000000000005
M.Jones,JAX,0.5666666666666668,1.3333333333333333,5.666666666666667,4.904444444444445,-1.808888888888889,0,51.0,0.0,5.1000000000000005
D.Sproles,LAC,0.8333333333333334,1.3333333333333333,8.333333333333334,4.145,5.935,0,50.0,0.0,5.0
O.Ayanbadejo,ARI,0.5,2.4,4.6,9.858,7.587000000000001,0,50.0,0.0,5.0
T.Dilfer,CLE,0.45999999999999996,2.0,4.6,7.897,4.702,0,46.0,0.0,4.6000000000000005
T.Carter,NYG,0.7666666666666667,1.0,7.666666666666667,3.36,5.916666666666667,0,46.0,0.0,4.6000000000000005
P.Manning,IND,0.4090909090909092,3.0,4.090909090909091,10.044545454545455,2.387272727272727,0,45.0,0.0,4.5
A.Boldin,ARI,0.5625,1.5,5.625,6.470000000000001,8.20875,0,45.0,0.0,4.5
K.Orton,CHI,0.4,2.1818181818181817,4.0,7.428181818181819,3.309090909090909,0,44.0,0.0,4.4
E.Kennison,KC,0.7166666666666668,1.1666666666666667,7.166666666666667,3.2616666666666667,4.751666666666667,0,43.0,0.0,4.3
C.Pickett,SF,1.4000000000000001,4.333333333333333,14.0,13.633333333333333,15.906666666666666,0,42.0,0.0,4.2
L.Fitzgerald,ARI,0.6833333333333332,1.3333333333333333,6.833333333333333,6.881666666666667,8.285,0,41.0,0.0,4.1000000000000005
M.Mauck,TEN,1.9500000000000002,3.5,19.5,13.965,20.705,0,39.0,0.0,3.9000000000000004
J.Kitna,CIN,1.3,2.0,13.0,9.223333333333334,14.99,0,39.0,0.0,3.9000000000000004
L.Evans,BUF,0.9500000000000002,1.0,9.5,3.255,6.852500000000001,0,38.0,0.0,3.8000000000000003
A.Chatman,GB,0.42499999999999993,1.0,4.25,3.75875,3.74625,0,34.0,0.0,3.4000000000000004
C.Johnson,CIN,0.6599999999999999,1.0,6.6,3.4859999999999998,7.336,0,33.0,0.0,3.3000000000000003
D.Northcutt,CLE,1.6500000000000001,1.0,16.5,2.84,9.72,0,33.0,0.0,3.3000000000000003
D.Nash,TEN,3.2,6.0,32.0,27.27,32.32,0,32.0,0.0,3.2
H.Ward,PIT,0.6399999999999999,1.0,6.4,2.8399999999999994,4.614000000000001,0,32.0,0.0,3.2
B.Berrian,CHI,3.1,2.0,31.0,6.25,24.22,0,31.0,0.0,3.1
K.Stewart,BAL,3.0,3.0,30.0,12.5,24.19,0,30.0,0.0,3.0
M.Bulger,LA,0.58,1.8,5.8,8.488,9.078,0,29.0,0.0,2.9000000000000004
J.Fargas,LV,0.7000000000000001,1.25,7.0,6.38,8.24,0,28.0,0.0,2.8000000000000003
T.Williamson,MIN,0.9333333333333335,1.0,9.333333333333334,3.9033333333333338,6.923333333333333,0,28.0,0.0,2.8000000000000003
