PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,AVG
R.Tannehill,TEN,8.82,11.76,11.76,,11.76,,8.7,6.9,9.68,6.25,14.29,4.44,5.0,,7.69,11.11,17.07,9.09,,,,9.621333333333332
A.Dillon,GB,6.25,13.89,,3.85,,23.81,18.52,20.0,,,,,,,3.7,55.26,5.26,,16.67,18.75,,16.905454545454543
L.Bell,NYJ,40.0,,,,46.43,,,,,,,,,,,,,,,,,43.215
R.Woods,LA,2.5,7.69,9.38,4.35,,10.53,11.76,6.9,,3.45,10.0,3.57,,2.78,5.26,6.9,,2.33,,,,6.242857142857143
D.Johnson,HOU,22.73,,,19.23,13.64,14.81,4.55,,57.14,63.64,52.63,39.13,,,38.1,70.59,82.35,,,,,39.87833333333334
K.Johnson,DET,24.14,38.1,11.11,13.64,,10.26,,,14.81,4.76,35.29,37.93,13.64,13.33,,,,,,,,19.72818181818182
T.Hill,NO,8.82,10.53,10.0,7.14,12.0,,3.45,16.67,18.92,26.67,27.78,22.73,38.89,25.0,11.76,11.11,23.33,11.43,,,,16.837058823529414
D.Moore,SEA,5.0,,,,,,3.33,7.14,,4.55,,3.33,,2.78,3.85,,,4.0,,,,4.2475000000000005
B.Hill,ATL,14.29,8.82,36.0,16.0,25.0,27.03,7.69,30.56,25.0,,28.57,40.62,23.81,5.0,38.46,30.43,34.62,,,,,24.49375
Z.Moss,BUF,28.12,34.78,,,,21.74,25.93,36.84,47.37,38.89,,30.0,11.11,48.15,54.17,38.71,12.0,33.33,,,,32.93857142857143
H.Ruggs,LV,6.45,,,,,,4.17,2.22,3.85,,3.85,7.14,,,,4.17,4.35,,,,,4.525
L.Shenault,JAX,8.7,18.52,5.88,,,,,,,,,,,,,,,,,,,11.033333333333333
T.Pollard,DAL,7.41,6.25,,15.0,20.69,37.04,30.77,20.0,29.03,,15.62,22.22,28.57,44.0,54.55,26.47,18.52,,,,,25.076
G.Kittle,SF,4.0,,,5.0,,,,,,,,,,,,,,,,,,4.5
B.Roethlisberger,PIT,10.0,13.64,13.16,,6.25,8.11,4.0,,5.56,5.0,,5.0,7.14,,8.7,14.29,,6.25,,,,8.238461538461538
J.Conner,PIT,20.0,72.73,47.37,,46.88,54.05,80.0,93.75,50.0,65.0,48.15,,,58.82,,35.71,45.0,68.75,,,,56.15785714285715
D.Harris,NO,2.94,5.26,,4.76,,,,3.33,,,2.78,,,,,,,2.86,,,,3.655
P.Campbell,IND,4.55,2.5,,,,,,,,,,,,,,,,,,,,3.525
J.Garoppolo,SF,4.0,,,,,10.81,2.7,18.18,,,,,,,,,,,,,,8.9225
C.Claypool,PIT,3.33,,,,9.38,5.41,,,5.56,10.0,,,,,4.35,,,,,,,6.338333333333334
K.Juszczyk,SF,4.0,,,,10.53,,10.81,,,4.0,,6.06,9.52,3.7,5.56,3.33,4.17,,,,,6.168000000000001
G.Bernard,CIN,3.57,4.17,,5.88,,25.0,61.9,46.88,,38.1,50.0,53.33,70.59,10.0,60.98,48.48,15.79,,,,,35.33357142857143
T.Taylor,LAC,15.38,,,,,,,,3.12,,,,,,,,,,,,,9.25
S.Miller,TB,3.85,4.55,,,,,,4.17,,,,,,,,,,3.33,,,3.03,3.786
S.Darnold,NYJ,6.67,6.9,17.24,25.0,,,,16.0,,,,8.7,8.82,4.35,16.13,20.59,4.0,,,,,12.218181818181819
D.Henderson,LA,7.5,30.77,62.5,34.78,42.86,73.68,44.12,27.59,,24.14,40.0,35.71,9.68,5.56,5.26,41.38,,,,,,32.36866666666666
S.Barkley,NYG,75.0,22.22,,,,,,,,,,,,,,,,,,,,48.61
D.Johnson,CLE,3.7,,,31.71,24.24,18.18,4.55,9.09,,,,,,,13.33,,,,,,,14.971428571428573
C.Samuel,CAR,3.33,16.67,19.05,5.71,14.81,,7.14,13.64,12.5,18.75,2.94,3.57,,9.52,7.41,20.0,15.0,,,,,11.336
D.Lock,DEN,11.54,,,,,13.51,9.09,12.5,31.82,10.53,6.06,,6.06,20.0,17.86,17.86,6.25,,,,,13.590000000000003
L.Fournette,TB,19.23,54.55,28.0,,,,44.0,62.5,20.0,21.62,38.89,23.08,,,77.78,34.62,22.73,66.67,48.57,50.0,48.48,41.295
J.Jackson,LAC,5.13,,,26.09,46.88,,15.15,44.74,,,,,,11.54,,10.0,25.71,,,,,23.155
I.Smith,ATL,4.76,14.71,,8.0,8.33,5.41,,,,,7.14,37.5,38.1,55.0,46.15,43.48,11.54,,,,,23.343333333333334
P.Rivers,IND,4.55,10.0,,7.89,5.56,6.67,,5.0,,,2.63,,6.9,,4.35,,5.41,3.23,,,,5.653636363636364
B.Mayfield,CLE,7.41,8.57,2.7,7.32,6.06,4.55,4.55,27.27,,7.32,15.0,12.12,11.11,17.86,13.33,16.67,19.35,16.13,13.64,,,11.720000000000002
S.Watkins,KC,2.94,,,,,,,,,,,,,,,,,,,,,2.94
C.Streveler,ARI,2.78,,,,,,,,,,,,,,,,16.67,,,,,9.725000000000001
A.Rodgers,GB,3.12,5.56,7.69,3.85,,9.52,,8.0,3.23,12.0,16.67,5.13,16.0,19.35,18.52,7.89,5.26,,11.11,,,9.556249999999999
C.Wentz,PHI,5.88,7.41,25.0,25.0,25.0,30.0,29.63,14.81,,8.33,12.0,33.33,12.0,,,,,,,,,19.0325
J.Samuels,PIT,3.33,,2.63,,,,4.0,,,,,,7.14,23.53,4.35,,,,,,,7.496666666666667
S.Neasman,ATL,4.76,,,,,,,,,,,,,,,,,,,,,4.76
A.Sherman,KC,2.94,,3.23,,,,,,,,,,,,,,5.88,,,,,4.016666666666667
J.Huntley,PHI,5.88,,,,,,7.41,,,,,,,,,,6.9,,,,,6.7299999999999995
A.Armah,CAR,6.67,,,2.86,3.7,,7.14,,,,,,,,,2.86,,,,,,4.646
D.Lewis,NYG,5.0,55.56,6.67,4.0,,,13.64,,8.57,,,4.76,9.68,11.76,4.76,8.33,3.57,,,,,11.358333333333334
D.Brees,NO,5.88,,,7.14,4.0,,10.34,10.0,5.41,3.33,,,,,,6.67,,8.57,8.0,,,6.934
R.Freeman,DEN,3.85,11.54,14.29,9.38,,21.62,9.09,,,10.53,,24.24,,,3.57,7.14,6.25,,,,,11.045454545454545
C.Ridley,ATL,4.76,,4.0,,,2.7,,,,,,,,,,4.35,3.85,,,,,3.932
T.Homer,SEA,15.0,10.0,7.69,15.38,18.75,,10.0,3.57,35.29,,,,,,,,,,,,,14.459999999999997
A.Robinson,CHI,3.57,,,,,,,,,,,,,,,,,,,,,3.57
P.Ricard,BAL,3.33,,,,,,,,,,,,,,,,,,,,,3.33
R.Griffin,BAL,3.33,,,9.38,4.17,,,,,,,25.0,,,,,,,,,,10.47
M.Ryan,ATL,4.76,11.76,4.0,8.0,4.17,10.81,,16.67,9.38,,,3.12,,5.0,7.69,4.35,11.54,,,,,7.788461538461538
J.Gillan,CLE,3.7,,,,,,,,,,,,,,,,,,,,,3.7
T.Boyle,GB,6.25,5.56,,3.85,,,7.41,,3.23,,,5.13,,,,7.89,,,,,,5.617142857142857
J.McKissic,WAS,8.33,33.33,22.73,9.09,7.14,33.33,12.82,,33.33,30.77,17.65,2.78,23.81,39.29,61.9,21.05,7.41,8.7,,,,21.968235294117648
T.Montgomery,NO,2.94,,,,,,,,,,,,,,,,60.0,,16.0,,,26.313333333333333
M.Sanders,PHI,,77.78,50.0,46.43,68.75,45.0,,,,66.67,64.0,46.67,40.0,38.89,58.06,51.72,,,,,,54.4975
J.Richard,LV,,5.71,4.55,4.35,2.86,,29.17,2.22,3.85,,,,16.0,9.09,,8.33,,,,,,8.613000000000001
J.Herbert,LAC,,9.09,13.04,21.74,12.5,,30.3,7.89,15.62,13.79,7.69,8.33,,,13.79,20.0,17.14,,,,,14.686153846153847
P.Mahomes,KC,,27.27,12.9,32.0,30.0,21.74,,,9.09,,14.81,20.0,18.18,20.83,17.07,14.29,,,12.5,20.0,29.41,20.005999999999997
J.Wilkins,IND,,22.5,29.03,23.68,5.56,6.67,,52.5,52.38,27.59,10.53,31.82,17.24,3.23,,,,,,,,23.560833333333335
D.Thompson,KC,,18.18,6.45,,,6.52,,20.0,,,,,,,,,82.35,,,,,26.7
C.Kupp,LA,,5.13,,4.35,,,2.94,,,,,,,,,,,,,,,4.14
L.Perine,NYJ,,10.34,24.14,20.83,,31.82,50.0,32.0,33.33,,33.33,,,,,26.47,,,,,,29.14
J.Malone,NYJ,,3.45,,,,,,,,,,,,,,,,,,,,3.45
C.Batson,TEN,,2.94,,,,,,,,,2.86,2.22,5.0,,,,,,,,,3.255
C.Lamb,DAL,,3.12,4.76,5.0,,,3.85,2.86,,,9.38,,,4.0,,2.94,3.7,,,,,4.401111111111111
