PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
D.Jackson,LV,,,,,,,,,,,5.56,,,,,,,,,,,,5.56
J.Flacco,NYJ,,,,,,,,,,,2.94,,,,,,,,,,,,2.94
D.Njoku,CLE,,,,,,,,,,,0.54,,,,,,,,,,,,0.54
B.Edwards,LV,,,,,,,,,,,0.0,,,,,,,,,,,,0.0
B.Perriman,TB,,,,,,,,,,,-3.19,,,,,,,,,,,,-3.19
A.Walter,NYJ,,,,,,,,,,,,24.2,2.86,,11.76,,32.67,,,,,,17.872500000000002
P.Lindsay,MIA,,,,,,,,,,,,37.84,,,,41.86,1.35,20.51,,,,,25.39
S.Chandler,CAR,,,,,,,,,,,,21.88,,,,,,,,,,,21.88
K.Blasingame,TEN,,,,,,,,,,,,2.22,,,,,,,,,,,2.22
Z.Jones,LV,,,,,,,,,,,,2.8,,,,,-1.18,,,,,,0.8099999999999999
D.Smythe,MIA,,,,,,,,,,,,2.7,,,,,,,,,,,2.7
Q.Watkins,PHI,,,,,,,,,,,,1.44,,,,,,,,,,,1.44
P.Cooper,NYG,,,,,,,,,,,,4.29,,,,,,,,,,,4.29
D.Slayton,NYG,,,,,,,,,,,,-18.57,,,,,,,,,,,-18.57
A.Peterson,SEA,,,,,,,,,,,,,10.96,,,,,,,,,,10.96
M.Boone,DEN,,,,,,,,,,,,,22.73,,,,,,,,,,22.73
W.Smallwood,WAS,,,,,,,,,,,,,11.61,,,,12.77,,,,,,12.19
G.Minshew,PHI,,,,,,,,,,,,,5.95,,,,,6.71,,,,,6.33
R.Freeman,HOU,,,,,,,,,,,,,11.9,23.81,10.67,17.99,29.07,,,,,,18.688
M.Sargent,LA,,,,,,,,,,,,,3.91,,,,,,,,,,3.91
C.Beathard,JAX,,,,,,,,,,,,,3.28,,,,,,,,,,3.28
J.Samuels,HOU,,,,,,,,,,,,,2.38,,,,8.14,,,,,,5.26
O.Zaccheaus,ATL,,,,,,,,,,,,,1.65,,,,,,,,,,1.65
