PLAYER,POS,FPTS,C,F,STD,VOR,VALUERANK,AVG,ADPRANK,SLEEPERSCORE,ECR,CI,IJ%,PGM,IPG%,D
Amon-Ra St Brown,WR,95.92380499999999,124.7,67.09,20.39261769371394,-20.51985500000002,175.0,,,,68.6,3,69%,3.40,6.7%,0
Tevin Coleman,RB,72.48874933333335,106.72666666666667,38.72666666666667,26.81923273805675,-20.861130666666654,176.0,167.8,163.0,-13.0,313.8,11,95%,3.30,16.2%,4
Salvon Ahmed,RB,72.104794,84.28,60.0,8.54203725685881,-21.245086,177.0,250.3,276.0,99.0,208.4,,,,,
OJ Howard,TE,55.59032899999999,83.81,27.01,22.636414509408482,-21.563957000000023,178.0,,,,242.3,6,86%,2.70,10.9%,1
Anthony Miller,WR,93.62123800000002,114.4,72.52,14.834046014063599,-22.82242199999999,179.0,279.5,335.0,156.0,,5,36%,0.80,2.6%,3
Sony Michel,RB,70.492829,107.04333333333334,33.71,26.265964877978565,-22.857051,180.0,117.8,114.0,-66.0,109.3,10,69%,1.80,6.7%,2
Dalton Schultz,TE,54.147664,71.81333333333333,36.61333333333334,13.256859400861693,-23.006622000000014,181.0,269.0,306.0,125.0,116.2,2,16%,2.20,1%,5
Bryan Edwards,WR,92.02629449999998,119.6,64.27,19.387009645939976,-24.41736550000003,182.0,207.4,209.0,27.0,226.2,4,54%,1.40,4.5%,2
Marquez Valdes-Scantling,WR,91.50559349999999,97.8,85.29,4.429407089584081,-24.93806650000002,183.0,230.0,240.0,57.0,195.4,7,18%,1.00,1.2%,5
Rashaad Penny,RB,68.05180199999998,93.54,42.43333333333333,19.958784338773867,-25.298078000000018,184.0,190.6,187.0,3.0,92.9,7,65%,1.90,6%,2
Alexander Mattison,RB,67.60662200000002,94.46,40.660000000000004,21.011433674766604,-25.743257999999983,185.0,154.2,151.0,-34.0,105.0,3,50%,3.90,4%,5
Jack Doyle,TE,49.74951166666667,78.61666666666667,20.150000000000002,21.074538368751405,-27.404774333333343,186.0,344.5,394.0,208.0,287.6,12,39%,0.80,2.9%,5
Emmanuel Sanders,WR,87.95598000000001,140.1,36.96666666666667,36.910538651893624,-28.487679999999997,187.0,195.4,194.0,7.0,192.7,22,95%,3.40,16.2%,5
KJ Hamler,WR,87.93463600000001,93.9,81.98,4.216459655623898,-28.509023999999997,188.0,,,,262.3,6,90%,3.80,12.7%,2
Teddy Bridgewater,QB,180.10737200000003,248.0,111.23,48.45926124497376,-28.515168000000017,189.0,248.8,270.0,81.0,265.9,9,11%,0.30,0.7%,3
CJ Uzomah,TE,48.481972999999996,73.46333333333332,22.796666666666667,18.149121926281964,-28.672313000000017,190.0,,,,273.3,6,25%,0.30,1.7%,3
Jalen Reagor,WR,87.62368400000001,134.67333333333332,40.74,35.21154901930977,-28.819975999999997,191.0,187.4,183.0,-8.0,212.7,4,74%,1.20,7.6%,2
Van Jefferson,WR,87.54519199999999,99.9,75.22,8.788285671456979,-28.898468000000022,192.0,294.0,355.0,163.0,124.5,2,10%,0.40,0.6%,5
Tyler Conklin,TE,48.0922,72.18666666666667,24.453333333333333,17.207965605497936,-29.062086000000015,193.0,339.5,391.0,198.0,292.5,3,36%,0.70,2.6%,5
Christian Kirk,WR,86.68721333333333,127.25333333333333,46.053333333333335,31.00598823745432,-29.756446666666676,194.0,209.3,213.0,19.0,116.7,3,77%,1.50,8.3%,5
Justin Jackson,RB,63.29071200000001,82.24,43.70666666666667,13.60182882310522,-30.059167999999985,195.0,235.0,246.0,51.0,185.0,,,,,
Zach Wilson,QB,178.26260333333332,260.1933333333333,95.32666666666667,63.03707218490463,-30.359936666666727,196.0,192.4,190.0,-6.0,160.8,3,30%,1.20,2.1%,0
Jimmy Graham,TE,46.266955,65.85000000000001,26.849999999999998,14.686888464817011,-30.88733100000001,197.0,260.3,292.0,95.0,298.8,7,26%,0.50,1.8%,5
James O'Shaughnessy,TE,46.218235,67.10000000000001,25.2,15.361108187066943,-30.936051000000013,198.0,392.0,430.0,232.0,,,,,,
Sam Darnold,QB,177.4209746666667,264.4266666666667,93.15999999999998,69.95615823313136,-31.20156533333335,199.0,212.0,219.0,20.0,316.4,6,50%,1.60,4%,4
Marlon Mack,RB,61.27891499999999,67.8,54.75,4.631369618997709,-32.07096500000001,200.0,223.5,230.0,30.0,213.2,7,84%,2.90,10.2%,2
Mo Alie-Cox,TE,44.994397,68.07,22.47,16.770140738121157,-32.159889000000014,201.0,291.0,351.0,150.0,320.0,3,83%,2.30,9.9%,5
AJ Green,WR,83.13153333333332,126.18,40.11333333333333,32.77687985496281,-33.312126666666686,202.0,,,,209.6,14,67%,3.20,6.3%,3
Chris Herndon,TE,43.034903,67.52333333333333,18.05666666666667,18.1129383004259,-34.11938300000001,203.0,,,,289.6,3,94%,2.40,15.3%,3
Rashod Bateman,WR,82.21720999999998,120.06666666666666,45.099999999999994,28.776796019522973,-34.22645000000003,204.0,214.3,221.0,17.0,92.1,2,8%,0.30,0.5%,5
Zach Pascal,WR,79.746453,101.2,58.37,15.127492336927196,-36.697207000000006,205.0,341.0,392.0,187.0,,,,,,
Darrel Williams,RB,56.228745999999994,79.54,32.67333333333333,18.26861446381427,-37.121134000000005,206.0,213.2,220.0,14.0,119.9,6,44%,1.20,3.4%,5
Pat Freiermuth,TE,39.974151000000006,53.2,26.94,9.282888735689932,-37.18013500000001,207.0,210.4,214.0,7.0,96.2,2,15%,0.50,1%,5
Jacob Hollister,TE,39.186258333333335,60.40333333333333,18.203333333333333,15.331024733850327,-37.96802766666668,208.0,453.0,488.0,280.0,,,,,,
James Washington,WR,77.22805,88.3,66.0,7.966992952017718,-39.21561000000001,209.0,366.0,409.0,200.0,309.0,4,31%,0.80,2.2%,5
DeSean Jackson,WR,75.96157666666667,112.75,38.416666666666664,27.455996040790435,-40.482083333333335,210.0,280.3,337.0,127.0,299.0,25,95%,5.40,16.2%,3
Damien Williams,RB,52.04187433333334,84.33666666666667,19.669999999999998,22.93894852833851,-41.30800566666666,211.0,211.5,218.0,7.0,206.3,6,92%,3.40,13.8%,5
Tyler Kroft,TE,35.40065333333333,52.553333333333335,17.953333333333333,12.554089464563596,-41.75363266666668,212.0,265.0,298.0,86.0,,,,,,
Harrison Bryant,TE,35.37180966666667,50.39666666666667,20.396666666666665,11.575730220383791,-41.78247633333334,213.0,451.0,486.0,273.0,294.0,1,27%,0.70,1.8%,5
Drew Sample,TE,34.949545,53.67666666666667,16.276666666666667,13.572693758862458,-42.20474100000001,214.0,447.0,482.0,268.0,,,,,,
Carson Wentz,QB,166.17163333333335,246.56000000000003,85.29333333333334,59.514727051069755,-42.4509066666667,215.0,231.8,242.0,27.0,172.2,8,87%,2.50,11.3%,4
Allen Lazard,WR,73.73340666666667,105.75666666666666,42.02333333333333,24.897163303324337,-42.71025333333334,216.0,227.8,235.0,19.0,219.6,2,5%,0.20,0.3%,5
Rhamondre Stevenson,RB,50.564144000000006,70.4,30.76,14.03725330779722,-42.78573599999999,217.0,169.0,165.0,-52.0,139.8,2,7%,0.40,0.4%,5
Albert Okwuegbunam,TE,34.08601833333333,55.79,12.323333333333332,15.40198922544666,-43.068267666666685,218.0,402.0,439.0,221.0,219.3,6,38%,0.70,2.8%,0
Carlos Hyde,RB,49.157444000000005,80.3,17.84,22.01642261692085,-44.192435999999994,219.0,,,,206.6,11,90%,3.10,12.7%,4
Kyle Rudolph,TE,32.905264,52.526666666666664,13.193333333333333,14.357603883241861,-44.24902200000001,220.0,432.0,468.0,248.0,283.4,12,16%,0.40,1%,5
Cordarrelle Patterson,RB,47.96393833333334,69.11333333333333,26.2,16.080387964417937,-45.38594166666666,221.0,248.3,269.0,48.0,92.4,10,74%,1.60,7.6%,5
Cordarrelle Patterson,RB,47.822393666666656,69.11333333333333,26.2,16.221314590594268,-45.52748633333334,223.0,248.3,269.0,46.0,92.4,10,74%,1.60,7.6%,5
Cordarrelle Patterson,WR,47.96393833333334,69.11333333333333,26.2,16.080387964417937,-68.47972166666668,319.0,,,,92.4,10,74%,1.60,7.6%,5
Cordarrelle Patterson,WR,47.822393666666656,69.11333333333333,26.2,16.221314590594268,-68.62126633333335,321.0,,,,92.4,10,74%,1.60,7.6%,5
Quintez Cephus,WR,70.93701899999999,91.1,50.11,14.465137532828333,-45.506641000000016,222.0,,,,245.6,,,,,
Cameron Brate,TE,31.248962666666664,45.79,16.856666666666666,10.31864374095881,-45.90532333333335,224.0,,,,319.8,2,24%,0.90,1.6%,5
Stephen Carlson,TE,31.134977000000003,59.8,2.06,20.29644343473681,-46.01930900000001,225.0,,,,,,,,,
David Njoku,TE,31.10407,51.31333333333333,10.58,14.303267574135717,-46.05021600000001,226.0,324.0,383.0,157.0,276.0,3,41%,1.00,3.1%,3
Geoff Swaim,TE,30.778296666666666,47.06666666666666,14.6,11.62345656032519,-46.37598933333335,227.0,,,,,,,,,
Nico Collins,WR,69.56256333333333,99.09999999999998,40.23333333333333,23.352382784594184,-46.88109666666668,228.0,241.0,256.0,28.0,212.9,3,5%,0.30,0.3%,5
Marquez Callaway,WR,69.02450166666667,116.16333333333334,21.563333333333333,34.55469188522414,-47.41915833333334,229.0,123.0,119.0,-110.0,216.3,4,93%,2.70,14.5%,2
Foster Moreau,TE,29.347963333333336,40.403333333333336,18.80333333333333,8.043019827899775,-47.806322666666674,230.0,389.0,428.0,198.0,336.8,1,40%,0.80,3%,5
Devontae Booker,RB,44.282803333333334,62.89666666666667,25.83,14.553319567759178,-49.067076666666665,231.0,200.0,201.0,-30.0,243.4,3,21%,0.60,1.4%,5
Hunter Renfrow,WR,67.11793333333334,101.41666666666667,33.016666666666666,24.297715994764243,-49.32572666666667,232.0,260.8,293.0,61.0,48.4,3,62%,1.50,5.5%,3
Keke Coutee,WR,66.77296500000001,84.7,48.72,12.737221735479642,-49.670694999999995,233.0,277.0,330.0,97.0,,5,69%,1.60,6.7%,2
Nick Boyle,TE,27.074643333333334,46.326666666666675,7.993333333333333,13.681666270983468,-50.07964266666668,234.0,,,,,,,,,
Brevin Jordan,TE,26.430858,41.580000000000005,11.579999999999998,11.525485724421163,-50.72342800000001,235.0,,,,257.2,5,71%,2.70,7%,0
Jerick McKinnon,RB,41.158554,46.3,35.93,3.6660899537632727,-52.191326,236.0,235.5,247.0,11.0,218.6,4,21%,0.30,1.4%,2
Jacob Harris,TE,24.738535999999993,28.9,20.63,2.916154449219725,-52.41575000000002,237.0,,,,341.0,,,,,
Jake Funk,RB,40.528562,43.31,37.7,1.9927929777465594,-52.821318,238.0,240.0,255.0,17.0,,,,,,
Jalen Guyton,WR,63.329212,93.1,33.89,20.78196437921728,-53.11444800000001,239.0,373.0,414.0,175.0,301.3,,,,,
Pharaoh Brown,TE,23.532475666666663,37.07666666666667,10.076666666666666,9.601638637404388,-53.62181033333335,240.0,,,,,,,,,
Kyle Juszczyk,RB,39.302416,58.46,20.06,13.643833663708453,-54.047464,241.0,353.5,401.0,160.0,,,,,,
Hunter Long,TE,22.48344133333333,37.556666666666665,7.623333333333334,10.577887696274841,-54.67084466666668,242.0,,,,,1,29%,0.80,2%,5
Boston Scott,RB,38.63361999999999,60.29999999999999,17.633333333333336,15.401579151576197,-54.716260000000005,243.0,238.8,253.0,10.0,206.6,,,,,
Kylen Granson,TE,22.420680666666666,35.64333333333334,9.11,9.258559186265527,-54.733605333333344,244.0,423.0,459.0,215.0,326.8,,,,,
Kendrick Bourne,WR,61.43807866666666,94.14,29.47333333333333,24.0293106056756,-55.005581333333346,245.0,320.5,380.0,135.0,248.2,0,5%,0.40,0.3%,5
Larry Rountree,RB,38.111041,48.52,27.7,7.308531686072041,-55.238839,246.0,,,,,1,30%,0.90,2.1%,0
Mike Boone,RB,37.685709499999994,42.41,33.0,3.3278794275198353,-55.664170500000004,247.0,278.0,332.0,85.0,,,,,,
Ryan Griffin,TE,21.38696,33.5,8.9,8.743984787177984,-55.76732600000001,248.0,,,,,,,,,
Denzel Mims,WR,60.23871,77.2,43.58,11.816353919712292,-56.20495000000001,249.0,261.5,294.0,45.0,300.5,7,77%,2.60,8.3%,5
Matt Breida,RB,37.12586700000001,40.8,33.42,2.6057815158433737,-56.22401299999999,250.0,360.0,406.0,156.0,275.8,,,,,
Demarcus Robinson,WR,60.18254666666667,92.48,28.94666666666667,23.732751552116515,-56.26111333333334,251.0,278.5,333.0,82.0,275.6,,,,,
Rex Burkhead,RB,36.52411466666667,41.42666666666667,31.599999999999998,3.4534364840718044,-56.82576533333333,252.0,445.0,480.0,228.0,314.8,9,39%,0.80,2.9%,3
Josh Reynolds,WR,59.397753666666674,90.57666666666667,28.109999999999996,22.736381888740638,-57.045906333333335,253.0,302.5,364.0,111.0,227.3,,,,,
Ty Johnson,RB,35.98118566666666,61.776666666666664,10.71,18.089784008531044,-57.36869433333334,254.0,210.5,215.0,-39.0,180.3,,,,,
Ian Thomas,TE,19.774073333333334,32.6,7.133333333333333,8.940811610385268,-57.38021266666668,255.0,,,,,,,,,
Jermar Jefferson,RB,35.84794,38.95,32.8,2.1676515821044693,-57.50194,256.0,396.0,434.0,178.0,,5,40%,1.00,3%,0
Jace Sternberger,TE,19.290675,24.5,14.05,3.702719023822223,-57.86361100000001,257.0,,,,,2,12%,0.40,0.7%,2
Samaje Perine,RB,35.430679000000005,52.56,18.633333333333336,13.49236510986298,-57.919200999999994,258.0,282.5,341.0,83.0,246.6,4,40%,1.10,3%,5
Chris Conley,WR,58.51403333333332,87.75333333333333,28.886666666666667,20.74039717992669,-57.929626666666685,259.0,319.0,379.0,120.0,,3,31%,0.40,2.2%,5
Wayne Gallman,RB,35.220946000000005,62.78,8.18,19.863658046419445,-58.128933999999994,260.0,,,,254.1,,,,,
Adam Shaheen,TE,18.9297,38.0,0.0,13.572522164653112,-58.224586000000016,261.0,,,,,,,,,
Marcedes Lewis,TE,18.850886666666668,28.733333333333334,8.866666666666665,7.144920269552816,-58.303399333333346,262.0,,,,,,,,,
Chuba Hubbard,RB,34.829347999999996,52.24666666666667,17.446666666666665,13.758764291793005,-58.520532,263.0,176.6,171.0,-92.0,133.1,2,35%,1.50,2.5%,5
Devin Asiasi,TE,18.522250000000007,27.8,9.3,6.570697637047379,-58.63203600000001,264.0,,,,,0,7%,0.20,0.4%,5
Adam Humphries,WR,57.76915133333333,86.40666666666668,28.206666666666663,22.529699025651265,-58.674508666666675,265.0,309.0,369.0,104.0,,2,39%,0.70,2.9%,5
Chris Manhertz,TE,18.232560666666668,31.126666666666665,5.26,9.154963488408752,-58.92172533333334,266.0,,,,,,,,,
Kahale Warring,TE,18.194097999999997,30.9,5.26,9.056227939180639,-58.96018800000002,267.0,,,,,3,9%,0.40,0.6%,0
Tommy Sweeney,TE,18.1274495,24.5,11.57,4.586485841845557,-59.026836500000016,268.0,,,,,,,,,
Richard Rodgers,TE,18.006714,21.78,14.3,2.6388099746294733,-59.14757200000001,269.0,,,,,3,27%,0.40,1.8%,5
Darrell Daniels,TE,17.902585333333334,27.360000000000003,8.293333333333333,7.279530055684028,-59.25170066666668,270.0,,,,,,,,,
DeeJay Dallas,RB,33.858816,48.18,19.38,10.856047112929456,-59.491064,271.0,418.0,454.0,183.0,329.4,,,,,
Devonta Freeman,RB,33.646545,56.7,10.0,16.536329378461687,-59.703334999999996,272.0,,,,258.5,11,21%,0.40,1.4%,4
Joshua Kelley,RB,33.617446666666666,49.29333333333333,18.16,12.643380053189011,-59.73243333333333,273.0,270.5,309.0,36.0,272.8,1,13%,0.30,0.8%,5
Mark Ingram,RB,33.22834566666667,59.23666666666667,7.77,19.110870201823857,-60.12153433333333,274.0,,,,197.1,9,74%,2.40,7.6%,5
Keelan Cole,WR,55.936085999999996,82.74,29.34,21.240030001876267,-60.50757400000001,275.0,,,,,2,6%,0.30,0.4%,5
Reggie Gilliam,TE,16.430625,30.7,1.8,10.174110986193094,-60.723661000000014,276.0,,,,,,,,,
Durham Smythe,TE,16.065188,23.98,8.18,5.748006385230971,-61.089098000000014,277.0,440.0,475.0,198.0,,,,,,
Auden Tate,WR,55.32914750000001,57.3,53.35,1.3851715546255439,-61.1145125,278.0,,,,,6,95%,3.20,16.2%,2
Josh Oliver,TE,15.737995999999999,26.2,5.12,7.416635149714727,-61.41629000000002,279.0,,,,,,,,,
Benny Snell,RB,31.230888,46.02,16.553333333333335,11.42229271917714,-62.118992,280.0,,,,,2,33%,0.60,2.3%,5
Travis Fulgham,WR,54.255102,79.1,29.44,17.599542534100024,-62.18855800000001,281.0,302.0,363.0,82.0,,,,,,
Trayveon Williams,RB,31.053442500000006,46.1,15.81,10.675428394059592,-62.296437499999996,282.0,,,,,2,7%,0.30,0.4%,1
Noah Gray,TE,14.64377333333333,25.266666666666666,4.2,8.189789815900173,-62.510512666666685,283.0,425.0,461.0,178.0,,,,,,
Kadarius Toney,WR,53.920269000000005,80.96,27.166666666666668,19.97261343623299,-62.523391000000004,284.0,243.8,258.0,-26.0,88.0,9,54%,1.10,4.5%,0
Derek Carrier,TE,14.521042499999998,25.2,3.81,7.614492629892929,-62.63324350000001,285.0,,,,,,,,,
John Bates,TE,14.515125,22.7,6.3999999999999995,5.8550304426514295,-62.639161000000016,286.0,,,,320.0,,,,,
Luke Farrell,TE,13.895794666666665,24.663333333333338,3.263333333333333,7.731588113824885,-63.258491333333346,287.0,,,,,,,,,
Dyami Brown,WR,53.044656666666654,80.9,24.666666666666668,19.871549376318285,-63.399003333333354,288.0,304.0,365.0,77.0,252.8,3,16%,0.30,1%,5
Nick Vannett,TE,13.559150666666667,22.88,4.133333333333334,6.65879711849667,-63.595135333333346,289.0,,,,,,,,,
Tyron Johnson,WR,52.741446999999994,69.1,36.79,11.471656741124665,-63.702213000000015,290.0,393.0,431.0,141.0,,,,,,
Ross Dwelley,TE,13.410499333333334,23.906666666666666,2.9066666666666667,7.6405382997970905,-63.74378666666668,291.0,,,,,,,,,
Jaylen Samuels,RB,29.26525399999999,30.4,28.14,0.8055420879656127,-64.08462600000001,292.0,397.0,435.0,143.0,,2,12%,0.30,0.7%,5
Brycen Hopkins,TE,12.702934000000003,25.093333333333334,0.6266666666666666,9.804689764057901,-64.45135200000001,293.0,,,,,1,17%,0.60,1.1%,5
JP Holtz,TE,12.179159999999998,16.2,8.1,2.8773480315040096,-64.97512600000002,294.0,,,,,,,,,
Jeff Wilson,RB,28.260976,41.43666666666667,14.836666666666666,10.81858635100218,-65.088904,295.0,,,,247.7,,,,,
Kenneth Gainwell,RB,28.209970000000002,44.669999999999995,11.270000000000001,11.78957544778861,-65.13991,296.0,177.8,176.0,-120.0,167.7,0,6%,0.40,0.4%,5
D'Wayne Eskridge,WR,51.142496666666666,75.13333333333334,27.26666666666667,19.428963366010205,-65.30116333333334,297.0,311.0,370.0,73.0,297.0,3,21%,2.00,1.4%,5
Tim Patrick,WR,51.078926,77.32333333333334,24.656666666666666,19.70742250405138,-65.364734,298.0,317.0,377.0,79.0,223.4,,,,,
Rashard Higgins,WR,50.97589,72.62,29.62,16.715931316797757,-65.46777,299.0,313.5,373.0,74.0,,5,90%,3.00,12.7%,5
Anthony McFarland,RB,27.712863,31.8,23.62,2.8813447959643774,-65.637017,300.0,,,,,1,21%,0.90,1.4%,5
Donovan Peoples-Jones,WR,50.678512,73.6,27.04,16.394853681135917,-65.76514800000001,301.0,271.3,314.0,13.0,238.4,,,,,
Amari Rodgers,WR,50.66829700000001,56.62,44.6,4.268394535395128,-65.775363,302.0,259.5,291.0,-11.0,,1,18%,0.70,1.2%,5
La'Mical Perine,RB,27.469125999999996,35.83,19.3,5.8165018388309635,-65.880754,303.0,255.0,284.0,-19.0,,3,5%,0.40,0.3%,5
Juwan Johnson,TE,10.877764,17.34,4.4,4.582288419589496,-66.27652200000001,304.0,259.0,288.0,-16.0,334.0,,,,,
Juwan Johnson,TE,10.855119000000004,17.34,4.4,4.556160539954557,-66.29916700000001,305.0,259.0,288.0,-17.0,334.0,,,,,
Juwan Johnson,WR,10.877764,17.34,4.4,4.582288419589496,-105.56589600000001,453.0,,,,334.0,,,,,
Juwan Johnson,WR,10.855119000000004,17.34,4.4,4.556160539954557,-105.588541,454.0,,,,334.0,,,,,
Blake Bell,TE,10.612803333333332,16.986666666666665,4.12,4.674389436444554,-66.54148266666668,306.0,,,,,,,,,
Tommy Tremble,TE,10.527791,15.270000000000001,5.736666666666667,3.4564531816568365,-66.626495,307.0,,,,314.3,,,,,
Preston Williams,WR,49.54029249999999,62.8,36.15,9.443618338695382,-66.90336750000002,308.0,372.0,413.0,105.0,,,,,,
Tre' McKitty,TE,10.214669999999998,16.099999999999998,4.366666666666666,4.199514656082957,-66.93961600000002,309.0,,,,,,,,,
Elijah Mitchell,RB,26.386332999999997,43.7,9.19,12.112818767863697,-66.963547,310.0,219.0,226.0,-84.0,48.1,,,,,
Alize Mack,TE,9.6461125,10.09,9.2,0.3132413603656933,-67.50817350000001,311.0,,,,,,,,,
Johnny Mundt,TE,9.613338999999998,11.2,8.02,1.12350753494536,-67.54094700000002,312.0,,,,,,,,,
Olamide Zaccheaus,WR,48.85292066666667,71.89666666666666,26.363333333333333,17.951412451414996,-67.59073933333335,313.0,307.0,366.0,53.0,,,,,,
Byron Pringle,WR,48.80451000000001,61.0,36.733333333333334,9.59708350338847,-67.63915,314.0,267.0,301.0,-13.0,254.6,,,,,
Noah Togiai,TE,9.405104,15.6,3.08,4.4401533519895455,-67.74918200000002,315.0,,,,,,,,,
Richie James,WR,48.675453999999995,67.3,29.98,13.23277409517309,-67.76820600000002,316.0,,,,,,,,,
Jeremy Sprinkle,TE,8.72613,17.1,0.0,6.063726306744064,-68.42815600000002,317.0,,,,,,,,,
Stephen Anderson,TE,8.707493000000001,11.603333333333333,5.736666666666667,2.2893509100606315,-68.44679300000001,318.0,355.0,403.0,85.0,,,,,,
Antony Auclair,TE,8.637025000000003,17.3,0.0,6.121962258898286,-68.517261,320.0,,,,,,,,,
Josiah Deguara,TE,8.397663333333334,14.966666666666667,1.8999999999999997,5.1102419149075295,-68.75662266666669,322.0,,,,249.2,,,,,
Zach Gentry,TE,8.383321666666667,11.966666666666667,4.8133333333333335,2.6004213045149047,-68.77096433333335,323.0,,,,,,,,,
Charlie Woerner,TE,8.293118000000002,13.113333333333335,3.513333333333333,3.530221178193356,-68.861168,324.0,429.0,465.0,141.0,,,,,,
Tony Jones,RB,24.143359999999998,47.8,0.6,16.896582136941184,-69.20652,325.0,,,,,,,,,
Daniel Brown,TE,7.414060000000001,14.8,0.0,5.216324981862231,-69.740226,326.0,,,,,,,,,
Brandon Dillon,TE,7.173702499999999,11.5,2.85,3.0737939917947905,-69.98058350000001,327.0,434.0,470.0,143.0,,,,,,
Greg Ward,WR,46.024069,54.67,37.0,6.251922430999844,-70.41959100000001,328.0,405.0,442.0,114.0,,,,,,
Colby Parkinson,TE,6.584337666666666,10.686666666666667,2.533333333333333,2.9182672631361806,-70.56994833333334,329.0,,,,,,,,,
Zach Davidson,TE,6.322621999999999,6.83,5.8,0.36429869628644035,-70.83166400000002,330.0,,,,,,,,,
Dare Ogunbowale,RB,22.4358,29.5,15.2,5.060139411122978,-70.91408,331.0,,,,,,,,,
Ricky Seals-Jones,TE,6.210625,11.5,1.0,3.703553139807096,-70.94366100000002,332.0,,,,,,,,,
Cethan Carter,TE,5.794842500000001,5.9,5.69,0.07358228518977919,-71.35944350000001,333.0,,,,,,,,,
Travis Homer,RB,21.903684,25.0,18.78,2.2021361647600264,-71.446196,334.0,,,,,,,,,
Demetrius Harris,TE,5.69384,10.1,1.3,3.129257109027636,-71.46044600000002,335.0,,,,,,,,,
Mason Schreck,TE,5.601796,8.8,2.32,2.307311330181517,-71.55249,336.0,,,,,,,,,
Kaden Smith,TE,5.600079999999998,5.8,5.4,0.1419013516496582,-71.55420600000002,337.0,,,,,,,,,
Mohamed Sanu,WR,44.73853200000002,70.7,19.23,18.27225885570736,-71.70512799999999,338.0,,,,,6,71%,1.70,7%,5
Brian Hill,RB,21.60411466666666,33.42666666666667,9.966666666666667,8.992629557128463,-71.74576533333334,339.0,267.0,302.0,-37.0,,,,,,
Luke Stocker,TE,4.794709999999999,9.7,0.0,3.3993969341487613,-72.35957600000002,340.0,,,,,,,,,
Eric Tomlinson,TE,4.630719999999999,7.3,1.94,1.9067291264361597,-72.52356600000002,341.0,,,,,,,,,
Tutu Atwell,WR,43.638259999999995,49.15,38.1,3.8918683556101943,-72.80540000000002,342.0,,,,,0,6%,0.40,0.4%,5
JaMycal Hasty,RB,20.26619,34.8,5.9,10.155855989718443,-73.08368999999999,343.0,277.0,328.0,-15.0,,,,,,
Eric Saubert,TE,4.02793,6.273333333333333,1.8333333333333333,1.699476300900434,-73.12635600000002,344.0,,,,,,,,,
Ty Montgomery,RB,20.150283333333334,30.566666666666666,9.833333333333334,8.356227825716445,-73.19959666666666,345.0,391.0,429.0,84.0,,9,49%,1.50,3.9%,2
Ty Montgomery,RB,20.115113333333337,30.566666666666666,9.833333333333334,8.205470250485343,-73.23476666666666,346.0,391.0,429.0,83.0,,9,49%,1.50,3.9%,2
Ty Montgomery,WR,20.150283333333334,30.566666666666666,9.833333333333334,8.356227825716445,-96.29337666666667,427.0,,,,,9,49%,1.50,3.9%,2
Ty Montgomery,WR,20.115113333333337,30.566666666666666,9.833333333333334,8.205470250485343,-96.32854666666667,428.0,,,,,9,49%,1.50,3.9%,2
Garrett Griffin,TE,3.857579499999999,5.47,2.3,1.1216612963277952,-73.29670650000001,347.0,,,,,,,,,
Deon Yelder,TE,3.7049250000000016,5.73,1.7,1.432741516944002,-73.44936100000001,348.0,,,,,,,,,
Trevon Wesco,TE,3.701726666666666,5.553333333333334,1.8333333333333333,1.4963831285840907,-73.45255933333334,349.0,,,,,,,,,
Trevon Wesco,TE,3.6610080000000003,5.553333333333334,1.8333333333333333,1.5134252650279394,-73.49327800000002,350.0,,,,,,,,,
Trevon Wesco,RB,3.701726666666666,5.553333333333334,1.8333333333333333,1.4963831285840907,-89.64815333333333,409.0,,,,,,,,,
Trevon Wesco,RB,3.6610080000000003,5.553333333333334,1.8333333333333333,1.5134252650279394,-89.688872,410.0,,,,,,,,,
Patrick Ricard,RB,19.501053500000005,25.1,13.97,3.9368699175408057,-73.8488265,351.0,,,,,,,,,
Sean McKeon,TE,2.8200416666666666,4.816666666666666,0.8166666666666668,1.4139587544815442,-74.33424433333334,352.0,,,,,,,,,
N'Keal Harry,WR,41.874348,64.67333333333333,18.666666666666668,16.517283169570742,-74.56931200000001,353.0,368.0,410.0,57.0,,5,53%,0.90,4.3%,2
Eno Benjamin,RB,18.453752500000004,23.85,13.0,3.843994030464115,-74.89612749999999,354.0,299.0,361.0,7.0,,,,,,
Peyton Barber,RB,18.096358,23.709999999999997,12.51,3.995887235125135,-75.253522,355.0,,,,,,,,,
Kevin Rader,TE,1.84985,2.0,1.7,0.10676365252275703,-75.30443600000001,356.0,,,,,,,,,
Kylin Hill,RB,17.597487500000003,32.3,3.05,10.383460688751306,-75.7523925,357.0,,,,,3,47%,2.20,3.7%,0
Collin Johnson,WR,39.734341,44.59,34.9,3.423859586887145,-76.70931900000001,358.0,,,,,,,,,
Rico Dowdle,RB,16.39951,27.0,5.6,7.570682978430678,-76.95036999999999,359.0,,,,,,,,,
Kene Nwangwu,RB,16.122633333333333,23.75333333333333,8.353333333333333,5.529731302995954,-77.22724666666667,360.0,,,,292.0,,,,,
Isaiah McKenzie,WR,39.07293666666667,45.333333333333336,32.800000000000004,4.374232925565348,-77.37072333333333,361.0,,,,,,,,,
JJ Taylor,RB,15.942452,29.0,3.02,9.188742204877444,-77.407428,362.0,,,,,,,,,
Ameer Abdullah,RB,15.846935000000004,24.560000000000002,7.099999999999999,6.246100158961189,-77.502945,363.0,343.0,393.0,30.0,,4,7%,0.20,0.4%,4
