PLAYER,TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,AVG
J.Robinson,JAX,31.25,68.75,51.72,60.0,58.06,89.47,,21.05,,50.0,75.0,60.71,32.0,75.0,72.0,9.38,,,,,,,53.885
T.Coleman,NYJ,50.0,16.13,,16.0,16.67,,,,,18.18,27.78,45.71,64.71,,33.33,38.89,,29.41,,,,,32.43727272727273
C.Wentz,IND,16.13,19.23,,15.15,7.69,7.69,12.12,15.0,13.33,14.81,4.35,15.0,6.25,,20.51,6.06,11.54,16.67,,,,,12.595624999999998
D.Eskridge,SEA,7.41,,,,,,,,,,,,,,,4.17,2.44,,,,,,4.673333333333333
S.Perine,CIN,13.89,,4.17,13.64,45.83,,45.83,,20.83,,5.26,7.89,19.23,15.38,15.38,,5.26,,4.0,,,10.0,16.184999999999995
R.Mostert,SF,7.14,,,,,,,,,,,,,,,,,,,,,,7.14
A.Dillon,GB,26.67,16.13,24.0,45.45,36.36,35.48,20.0,47.06,32.0,65.62,57.89,62.5,,62.5,28.0,37.5,43.75,50.0,,35.0,,,40.32833333333333
T.Bridgewater,DEN,10.71,13.33,10.81,5.88,5.56,8.7,14.29,4.76,7.32,,,6.06,12.9,,8.82,,,,,,,,9.095
A.Schwartz,CLE,3.7,,,,,5.26,3.03,,,,,,,,,8.0,,2.44,,,,,4.486000000000001
T.Heinicke,WAS,11.11,18.18,32.0,17.24,15.15,,34.48,4.17,,11.43,15.0,9.09,10.0,16.67,,5.0,9.09,5.41,,,,,14.267999999999999
M.Brown,MIA,21.74,25.0,25.93,50.0,,25.0,10.34,,,,,,,,,,,,,,,,26.334999999999997
T.Johnson,NYJ,22.22,38.71,23.08,12.0,22.22,,27.78,14.81,18.18,9.09,5.56,17.14,5.88,35.29,,,19.23,,,,,,19.370714285714286
R.Jones,TB,28.57,28.57,38.46,20.0,20.0,16.13,32.26,20.0,,,29.63,25.93,5.88,10.34,38.1,64.52,45.45,,,,,,28.255999999999993
K.Hill,GB,33.33,6.45,,,,,20.0,,,,,,,,,,,,,,,,19.926666666666666
J.Goff,DET,12.5,21.05,3.7,12.0,,5.56,3.57,,,,,,7.41,9.52,,,,,,,,,9.41375
T.Pollard,DAL,16.67,41.94,26.83,29.41,35.9,32.26,,29.17,22.22,28.95,43.75,47.62,29.17,,40.0,28.57,17.65,,19.05,,,,30.5725
Dj.Moore,CAR,3.7,,3.03,4.17,3.33,4.35,,,8.7,,,,,,,,,3.85,,,,,4.447142857142857
D.Prescott,DAL,22.22,,21.95,11.76,5.13,9.68,,,16.67,5.26,,4.76,12.5,19.44,6.67,14.29,29.41,,19.05,,,,14.199285714285717
K.Smith,ATL,7.69,9.52,,3.57,,,,,,4.17,18.75,,,,,,,,,,,,8.74
A.Dalton,CHI,7.69,5.88,,,,,,,,,,20.69,7.41,,,,11.11,4.0,,,,,9.463333333333333
J.White,NE,13.33,20.83,5.88,,,,,,,,,,,,,,,,,,,,13.346666666666666
