Date,Team,Acquired,Relinquished,Notes
2007-10-18,Broncos,,• Stephen Alexander,placed on IR with leg injury
2007-10-19,Bills,,• Peerless Price,placed on IR with neck injury (per CBS)
2007-10-20,Chiefs,• Priest Holmes,,activated from non-football injury list
2007-10-20,Dolphins,,• Trent Green,placed on IR with concussion
2007-10-23,Browns,,• Gary Baxter,placed on IR with torn patellar tendons in knee
2007-10-23,Falcons,,• Renardo Foster,placed on IR with torn ACL in left knee
2007-10-24,Buccaneers,,• Mark Jones (b),placed on IR with knee injury
2007-10-24,Dolphins,,• Renaldo Hill,placed on IR with torn ACL in knee
2007-10-24,Dolphins,,• Ronnie Brown,placed on IR with torn ACL in knee
2007-10-24,Panthers,,• Nick Goings,placed on IR with concussion
2007-10-27,Jets,,• Jonathan Vilma,placed on IR with knee injury
2007-10-27,Jets,• Matt Chatham,,activated from physically unable to perform list
2007-10-27,Patriots,• Richard Seymour,,activated from physically unable to perform list
2007-10-30,Chiefs,,• Johnny Baldwin,placed on IR with knee injury
2007-10-30,Packers,,• DeShawn Wynn,placed on IR with shoulder injury
2007-10-30,Packers,• Koren Robinson,,activated from exemption list
2007-10-30,Panthers,,• Curtis DeLoatch,placed on IR with left knee injury
2007-10-30,Redskins,,• Carlos Rogers,placed on IR with knee injury
2007-10-30,Titans,,• Ken Amato,placed on IR with torn ACL in right knee
2007-10-31,Browns,,• Ricardo Colclough,placed on IR with knee injury
2007-10-31,Browns,,• Ted Washington Jr.,placed on IR with left knee injury
2007-10-31,Buccaneers,,• Torrie Cox,placed on IR with knee injury
2007-10-31,Jaguars,,• Tony McDaniel,placed on IR with wrist injury
2007-10-31,Raiders,,• Tommy Kelly,placed on IR with torn ACL in right knee
2007-10-31,Texans,,• Shawn Barber,placed on IR with neck injury
2007-11-02,Broncos,,• Jarvis Moss,placed on IR with broken right fibula
2007-11-02,Patriots,,• Sammy Morris,placed on IR with chest injury
2007-11-04,Saints,,• Alfred Fincher,placed on IR with concussion
2007-11-05,49ers,,• Jonas Jennings,placed on IR with ankle injury
2007-11-06,Bengals,• Chris Perry,,activated from physically unable to perform list
2007-11-06,Browns,,• LeCharles Bentley,placed on physically unable to perform list
2007-11-06,Cowboys,,• Deon Anderson,placed on IR with torn rotator cuff
2007-11-06,Jaguars,,• Chris Naeole,placed on IR with torn quadriceps tendon
2007-11-06,Jaguars,,• Justin Durant,placed on IR with knee injury (per CBC)
2007-11-06,Panthers,,• Dan Morgan (Thomas),placed on IR with Achilles tendon injury
2007-11-07,Bengals,,• Ahmad Brooks (Kadar),placed on IR with groin injury
2007-11-07,Broncos,,• Rod Smith (b),placed on IR with hip injury
2007-11-07,Dolphins,,• Abraham Wright,placed on IR with knee injury
2007-11-07,Eagles,,• Sean Considine,placed on IR with shoulder injury
2007-11-07,Patriots,• Chad Jackson,,activated from physically unable to perform list
2007-11-07,Patriots,• Eddie Jackson (Paul),,activated from physically unable to perform list
2007-11-07,Rams,,• Leonard Little,placed on IR with left big toe injury
2007-11-08,49ers,,• Justin Smiley,placed on IR with torn labrum in right shoulder
2007-11-08,Bears,,• Ruben Brown,placed on IR with shoulder injury
2007-11-08,Bills,,• Derek Schouman,placed on IR
2007-11-08,Bills,,• Derek Schouman,placed on IR with ankle injury
2007-11-08,Ravens,,• Dan Cody,placed on IR with knee injury
2007-11-08,Ravens,,• Mike Smith (Lee),placed on IR recovering from surgery on oeft shoulder
2007-11-08,Texans,,• Dunta Robinson,placed on IR with right knee injury
2007-11-10,Browns,,• Seth McKinney,placed on IR with left shoulder injury
2007-11-13,Bengals,,• Caleb Miller,placed on IR with back injury
2007-11-13,Bills,,• Kiwaukee Thomas,placed on IR with groin injury
2007-11-13,Bills,,• Matt Murphy (Jarrid),placed on IR with torn calf muscle
2007-11-13,Cardinals,,• Bertrand Berry / Bert Berry,placed on IR with torn left triceps
2007-11-13,Falcons,,• Martrez Milner,placed on IR with ankle injury
2007-11-14,Colts,,• Dwight Freeney,placed on IR with left foot injury
2007-11-14,Colts,,• Victor Worsley,placed on IR with foot injury
2007-11-14,Dolphins,,• Travares Tillman,placed on IR with knee injury
2007-11-14,Rams,,• Aaron Walker,placed on IR with left shoulder injury
2007-11-14,Rams,,• Richie Incognito,placed on IR with knee injury
2007-11-14,Ravens,,• Prescott Burgess,placed on IR with hip injury
2007-11-14,Steelers,,• Jerame Tuman,placed on IR with back injury
2007-11-14,Steelers,,• Ryan Clark (Terry),placed on IR with inflamed spleen
2007-11-15,Redskins,,• Brandon Lloyd,placed on IR with fractured collarbone
2007-11-17,Jets,,• Stacy Tutt,placed on IR with right knee injury
2007-11-19,Lions,,• Idrees Bashir,placed on IR with knee injury
2007-11-20,Chargers,,• Carlos Polk,placed on IR with shoulder injury
2007-11-20,Colts,,• Aaron Moorehead,placed on IR with back injury
2007-11-20,Falcons,,• Rod Coleman,placed on IR with arm injury
2007-11-20,Falcons,,• Trey Lewis,placed on IR with knee injury
2007-11-20,Giants,,• Mathias Kiwanuka,placed on IR with broken left fibula
2007-11-21,Bears,,• Ade Jimoh,placed on IR with broken collarbone
2007-11-21,Chiefs,,• Priest Holmes,placed on IR
2007-11-21,Raiders,,• Cornell Green (Duane),placed on IR with foot injury
2007-11-21,Ravens,,• Trevor Pryce,placed on IR with chest injury
2007-11-25,Packers,,• Colin Cole,placed on IR with arm injury
2007-11-26,Jaguars,,• George Wrighster,placed on IR with knee injury
2007-11-26,Jaguars,,• Greg Estandia,placed on IR with shoulder injury
2007-11-26,Jaguars,• Greg Estandia,,activated from IR
2007-11-26,Lions,,• Jonathan Scott,"placed on IR with hamstring injury (per CBC, hand injury per CBS)"
2007-11-27,Bears,,• Cedric Benson,placed on IR with left ankle injury
2007-11-27,Bengals,,• Herana-Daze Jones,placed on IR with knee injury
2007-11-27,Cardinals,,• Eric Green (b),placed on IR with groin injury
2007-11-27,Jaguars,,• Brian Smith (d),placed on IR with hip injury
2007-11-27,Patriots,,• Rosevelt Colvin,placed on IR with foot injury
2007-11-27,Patriots,• Troy Brown,,activated from physically unable to perform list
2007-11-28,Dolphins,,• Ricky Williams (Lynne),placed on IR with torn pectoral muscle
2007-11-28,Rams,,• Pisa Tinoisamoa,placed on IR with knee injury
2007-11-29,Colts,,• Dante Hughes,placed on IR with shoulder injury
2007-11-29,Falcons,,• Todd Weiner,placed on IR with knee injury
2007-11-29,Steelers,,• Dan Kreider,placed on IR with knee injury
2007-11-30,Cardinals,,• Adrian Wilson (Lemar),placed on IR with heel injury
2007-12-03,Ravens,,• Steve McNair,placed on IR with left shoulder injury
2007-12-04,Dolphins,,• Cameron Worrell,placed on IR with knee injury
2007-12-04,Dolphins,,• Zach Thomas (M.),placed on IR with head injury / migraine
2007-12-04,Giants,,• Derrick Ward,placed on IL with left leg injury
2007-12-04,Seahawks,,• C.J. Wallace,placed on IR with knee injury
2007-12-04,Texans,,• Chris White (L.),placed on IR with left knee injury
2007-12-04,Texans,,• Fred Weary (Edward),placed on IR with fractured right tibia
2007-12-05,Browns,,• Kris Griffin,placed on IR with knee injury
2007-12-05,Chiefs,,• Rudy Niswanger,placed on IR with knee injury
2007-12-05,Colts,,• Daniel Federkeil,placed on IR with concussion
2007-12-05,Lions,,• LaMarcus Hicks,placed on IR with ankle injury
2007-12-05,Rams,,• Tye Hill,placed on IR with left wrist injury
2007-12-06,Bills,,• Anthony Thomas (J.),placed on IR with calf injury
2007-12-06,Chiefs,,• Tyler Thigpen,placed on IR with knee injury
2007-12-06,Rams,,• Dante Hall,placed on IR with left ankle injury
2007-12-07,Texans,,• Ahman Green,placed on IR with knee injury
2007-12-07,Vikings,,• Erasmus James,placed on IR with knee injury
2007-12-08,Titans,,• Chris Hope,placed on IR with back injury
2007-12-10,Bears,,• Anthony Adams (a),placed on IR with elbow injury
2007-12-10,Bears,,• Antonio Garay,placed on IR with ankle injury
2007-12-11,Cardinals,,• Leonard Pope,placed on IR with right ankle injury
2007-12-11,Packers,,• Johnny Jolly,placed on IR with shoulder injury
2007-12-11,Steelers,,• Aaron Smith,placed on IR with bicep injury
2007-12-12,49ers,,• Alex Smith (D.),placed on IR with separated right shoulder
2007-12-12,Bears,,• Marcus Reese,placed on IR with dislocated left shoulder
2007-12-12,Jaguars,,• Marcus Stroud,placed on IR with right ankle injury
2007-12-12,Jets,,• David Clowney,placed on IR with undisclosed injury
2007-12-12,Ravens,,• Chris McAlister,placed on IR with knee injury
2007-12-12,Saints,,• Olindo Mare,placed on IR with hip injury
2007-12-13,Patriots,,• Mike Wright (c),placed on IR with foot injury
2007-12-13,Redskins,,• Randy Thomas,placed on IR with elbow/triceps injury
2007-12-13,Saints,,• McKinley Boykin,placed on IR with knee injury
2007-12-14,Bills,,• George Wilson (Eugene),placed on IR with fractured ribs
2007-12-14,Chiefs,,• Pat Thomas (W.),placed on IR
2007-12-15,Raiders,,• Jarrod Cooper,placed on IR with knee injury
2007-12-16,Titans,,• Brandon Jones (Cornell),placed on IR with groin injury
2007-12-17,Falcons,,• Lewis Sanders,placed on IR with torn right pectoral muscle
2007-12-17,Giants,,• Jeremy Shockey,placed on IR with fractured fibula in left leg
2007-12-18,49ers,,• Dominique Zeigler,placed on practice squad IR
2007-12-18,Broncos,,• Nick Ferguson,placed on IR with right knee injury
2007-12-18,Saints,,• Brian Young,placed on IR with illness
2007-12-19,Bills,,• Ryan Denney,placed on IR with foot injury
2007-12-19,Chiefs,,• Kyle Turley,placed on IR with back injury (ankle injury per CBS)
2007-12-19,Eagles,,• Takeo Spikes,placed on IR with torn rotator cuff
2007-12-19,Lions,,• Roy Williams (E.),placed on IR with right knee injury
2007-12-19,Raiders,,• Jake Grove,placed on IR recovering from microfracture surgery on right knee
2007-12-19,Redskins,,• Roger McIntosh / Rocky McIntosh,placed on IR with left knee injury
2007-12-19,Titans,,• Ryan Fowler,placed on IR with right shoulder injury
2007-12-20,Rams,,• Travis Minor,placed on IR with ankle injury
2007-12-21,Panthers,,• Keary Colbert,placed on IR with knee injury
2007-12-21,Ravens,,• Samari Rolle,placed on IR with shoulder injury
2007-12-22,Dolphins,,• Channing Crowder,placed on IR with concussion
2007-12-22,Jets,,• Laveranues Coles,placed on IR with ankle injury
2007-12-24,Bears,,• Mark Anderson,placed on IR with knee injury
2007-12-24,Browns,,• Ethan Kelley,placed on IR with knee injury
2007-12-24,Browns,,• Mike Adams (Carl),placed on IR with knee injury
2007-12-24,Cardinals,,• Ross Kolodziej,placed on IR with quadriceps injury
2007-12-24,Saints,,• Jamaal Branch,placed on IR with fractured right leg
2007-12-24,Saints,,• Mike McKenzie (b),placed on IR with torn ACL in right knee
2007-12-24,Steelers,,• Willie Parker (Everett),placed in IR with fractured right fibula
2007-12-26,Bengals,,• DeDe Dorsey,placed on IR with high ankle sprain
2007-12-26,Bengals,,• Eric Ghiaciuc,placed on IR with foot injury
2007-12-26,Bengals,,• Madieu Williams,placed on IR with quadriceps injury
2007-12-26,Buccaneers,,• Maurice Stovall,placed on IR with arm injury
2007-12-26,Chiefs,,• Larry Johnson (b),placed on IR with foot injury
2007-12-26,Chiefs,,• Tyron Brackenridge,placed on IR with knee injury
2007-12-26,Dolphins,,• Andre' Goodman / Andre Goodman,placed on IR with knee injury
2007-12-26,Falcons,,• Terrance Pennington,placed on IR with undisclosed injury
2007-12-26,Jets,,• Jason Trusnik,placed on IR with foot injury
2007-12-26,Panthers,,• Julius Peppers,placed on IR with right knee injury
2007-12-26,Raiders,,• Daunte Culpepper,placed on IR with quadriceps injury
2007-12-26,Raiders,,• Justin Fargas,placed on IR with knee injury
2007-12-26,Saints,,• Dante Ridgeway,placed on practice squad IR
2007-12-26,Titans,,• Eric King (David),placed on IR with surgery on forearm
2007-12-27,Bears,,• Nathan Vasher,placed on IR with groin injury
2007-12-27,Redskins,,• Mike Pucillo,placed on IR with back injury
2007-12-28,Jaguars,,• John Broussard,placed on IR with ankle injury
2007-12-29,Bills,,• Copeland Bryan,placed on IR with knee injury
2007-12-29,Bills,,• Coy Wire,placed on IR with neck injury
2007-12-29,Chiefs,,• Eddie Kennison,placed on IR with ribs injury
2007-12-29,Ravens,,• Gerome Sapp,placed on IR with thigh injury
2007-12-29,Ravens,,• Todd Heap,placed on IR with thigh injury
2007-12-31,Giants,,• Craig Dahl,placed on IR with torn ACL in knee
2008-01-01,Seahawks,,• Baraka Atkins,placed on IR with ankle injury
2008-01-02,Buccaneers,,• Greg Peterson,placed on IR with hamstring injury
2008-01-02,Steelers,,• Clint Kriewaldt,placed on IR with neck injury
2008-01-02,Steelers,,• Max Starks,placed on IR with knee injury
2008-01-02,Titans,,• Bo Scaife,placed on IR with lacerated liver
2008-01-03,Packers,,• Junius Coston,placed on IR with calf injury
2008-01-04,Titans,,• Roydell Williams,placed on IR with ankle injury
2008-01-08,Packers,,• Chris Patrick,placed on practice squad IR
2008-01-24,Buccaneers,• Mike Alstott,,activated from IR
2008-01-24,Patriots,,• Mel Mitchell III,placed on IR with bicep injury
2008-02-04,Redskins,• Steven Harris (a),,activated from IR
2008-02-11,Panthers,• Dan Morgan (Thomas),,activated from IR
2008-02-11,Broncos,• Warrick Holdman,,activated from IR
2008-02-12,Broncos,,• Matt Lepsis,placed on retired list
2008-02-15,Broncos,,• Rod Smith (b),placed on retired list
2008-02-25,Lions,• Devale Ellis,,activated from physically unable to perform list
2008-02-25,Texans,• Charles Spencer,,activated from physically unable to perform list
2008-05-05,Vikings,,• Kenechi Udeze,placed on reserve/left camp list with leukemia
2008-05-22,Browns,,• Daven Holly,placed on IR recovering from surgery on left knee to repair ligament and cartilage damage
2008-05-22,Texans,,• Chukky Okobi,placed on IR with triceps injury
2008-07-18,Ravens,,• Quinn Sypniewski,placed on IR with knee injury
2008-07-18,Ravens,,• Scott Kuhn,placed on IR with knee injury
2008-07-21,Jets,,• Chris Baker (T.),placed on physically unable to perform list with back injury
2008-07-21,Jets,,• Clint Oldenburg,placed on non-football injury list
2008-07-21,Jets,,• Jason Trusnik,placed on physically unable to perform list
2008-07-22,Eagles,,• Bryan Smith,placed on physically unable to perform list
2008-07-22,Eagles,,• Jack Ikegwuonu,placed on physically unable to perform list with knee injury
2008-07-22,Eagles,,• Trevor Laws,placed on physically unable to perform list
2008-07-22,Rams,,• Orlando Pace,placed on physically unable to perform list with right shoulder injury
2008-07-22,Redskins,,• Alex Buzbee,placed on IR with ruptured Achilles tendon
2008-07-22,Redskins,,• Phillip Daniels,placed on IR with torn ACL in left knee
2008-07-23,Browns,,• Joe Jurevicius,placed on physically unable to perform list with knee injury
2008-07-23,Browns,,• Ryan Tucker,placed on physically unable to perform list recovering from surgery on broken hip
2008-07-24,Giants,,• David Tyree,placed on physically unable to perform list recovering from surgery on right knee
2008-07-24,Lions,,• Dan Campbell (Allen),placed on physically unable to perform list with elbow injury
2008-07-24,Lions,,• Daniel Bullocks,placed on physically unable to perform list with knee injury
2008-07-24,Lions,,• Edwin Mulitalo,placed on physically unable to perform list
2008-07-24,Lions,,• Shaun McDonald,placed on physically unable to perform list with knee injury
2008-07-24,Patriots,,• BenJarvus Green-Ellis,placed on physically unable to perform list
2008-07-24,Patriots,,• Bo Ruud,placed on physically unable to perform list
2008-07-24,Patriots,,• Ellis Hobbs,placed on physically unable to perform list
2008-07-24,Patriots,,• Mike Vrabel,placed on physically unable to perform list
2008-07-24,Patriots,,• Mike Wright (c),placed on physically unable to perform list
2008-07-24,Patriots,,• Nick Kaczur,placed on physically unable to perform list
2008-07-24,Patriots,,• Oliver Ross (Calvin),placed on physically unable to perform list
2008-07-24,Patriots,,• Rodney Harrison,placed on physically unable to perform list
2008-07-24,Patriots,,• Ryan Wendell,placed on physically unable to perform list
2008-07-24,Patriots,,• Stephen Neal,placed on physically unable to perform list
2008-07-24,Patriots,,• Wes Welker,placed on physically unable to perform list
2008-07-24,Vikings,,• Ray Edwards,placed on physically unable to perform list with back injury
2008-07-25,Broncos,,• Carlton Powell,placed on physically unable to perform list with Achilles tendon injury
2008-07-25,Chargers,,• Andrew Pinnock,placed on physically unable to perform list with right knee injury
2008-07-25,Chargers,,• Anthony Waters,placed on physically unable to perform list with knee injury
2008-07-25,Chargers,,• Antonio Gates,placed on physically unable to perform list with foot injury
2008-07-25,Chargers,,• Nick Hardwick,placed on physically unable to perform list with foot injury
2008-07-25,Falcons,,• Renardo Foster,placed on physically unable to perform list recovering from torn ACL in left knee
2008-07-25,Falcons,,• Trey Lewis,placed on non-football injury list
2008-07-25,Patriots,• BenJarvus Green-Ellis,,activated from physically unable to perform list
2008-07-25,Texans,,• Dunta Robinson,placed on physically unable to perform list with torn ACL in knee
2008-07-26,Broncos,,• Edell Shepherd,placed on IR with knee injury (out for season)
2008-07-26,Jaguars,,• Chad Nkang,placed on physically unable to perform list with wrist injury
2008-07-26,Jaguars,,• George Wrighster,placed on physically unable to perform list with knee injury
2008-07-26,Jaguars,,• Jeremy Mincey,placed on physically unable to perform list with wrist injury
2008-07-26,Jaguars,,• Jerry Porter,placed on physically unable to perform list with hamstring injury
2008-07-26,Jaguars,,• Reggie Williams Jr.,placed on physically unable to perform list with right knee injury
2008-07-27,Patriots,• Nick Kaczur,,activated from physically unable to perform list
2008-07-27,Saints,,• DeMario Pressley,placed on IR with fractured right foot
2008-07-27,Steelers,,• Casey Hampton,placed on physically unable to perform list
2008-07-28,Bengals,,• Kenny Irons,placed on physically unable to report list with knee injury
2008-07-28,Packers,,• Shaun Bodiford,placed on IR with back injury
2008-07-29,Buccaneers,,• Torrie Cox,placed on IR with torn ACL in left knee
2008-07-29,Falcons,,• Von Hutchins,placed on IR with foot injury
2008-07-29,Jaguars,• Reggie Williams Jr.,,activated from physically unable to perform list
2008-07-29,Jets,,• Danny Woodhead,placed on IR
2008-07-29,Lions,,• Reggie Ball,placed on IR with right knee injury (out for season)
2008-07-29,Patriots,• Rodney Harrison,,activated from physically unable to perform list
2008-07-30,Giants,• Jonathan Palmer,,activated from physically unable to perform list
2008-07-30,Packers,,• Justin Harrell,placed on physically unable to perform list recovering from surgery on back
2008-07-30,Panthers,,• Josh Davis (b. 1980-12-11),placed on IR with undisclosed injury
2008-07-30,Redskins,,• Kerry Brown (b),placed on IR with shoulder injury
2008-07-30,Steelers,,• Daniel Sepulveda / Dan Sepulveda,placed on IR with torn ACL in right knee
2008-08-01,Cardinals,,• Scott Peters,placed on IR with knee injury (date 08-08 per CBS NFL)
2008-08-01,Steelers,,• Troy Polamalu,placed on physically unable to perform list (date approximate)
2008-08-02,Patriots,,• Anthony Clement,placed on IR with knee injury
2008-08-02,Patriots,• Bo Ruud,,activated from physically unable to perform list
2008-08-02,Patriots,• Ellis Hobbs,,activated from physically unable to perform list
2008-08-02,Patriots,• Wes Welker,,activated from physically unable to perform list
2008-08-02,Seahawks,,• DeMichael Dizer,placed on IR
2008-08-04,Giants,• Gerris Wilkinson,,activated from physically unable to perform list
2008-08-04,Jaguars,,• Anthony Cotrone,placed on IR with left knee injury
2008-08-04,Jets,• Chris Baker (T.),,activated from physically unable to perform list
2008-08-04,Lions,,• Teddy Lehman,placed on IR with strained hamstring
2008-08-04,Packers,,• Condrew Allen,placed on IR with knee injury
2008-08-04,Texans,,• Jimmy Williams (Ray),placed on IR with left knee injury (out for season)
2008-08-05,Patriots,• Mike Vrabel,,activated from physically unable to perform list
2008-08-06,Falcons,,• Robert James (b),placed on IR
2008-08-06,Seahawks,,• Wesley Mallard / Wesly Mallard / Wes Mallard,placed on IR with hamstring/knee injury
2008-08-08,Ravens,,• Quinn Sypniewski,placed on IR with knee injury (CBS NFL)
2008-08-09,Jets,,• Brad Kassell,placed on IR with right knee injury
2008-08-09,Patriots,,• Clevan Williams / Tank Williams,placed on IR with knee injury
2008-08-10,49ers,,• Damane Duckett,placed on IR with broken bone under left kneecap (out for season)
2008-08-10,Saints,,• James Reed,placed on IR with torn Achilles tendon
2008-08-11,Patriots,• BenJarvus Green-Ellis,,activated from physically unable to perform list (E)
2008-08-11,Ravens,,• Prescott Burgess,placed on IR with wrist injury
2008-08-11,Ravens,,• Prince Daniels / P.J. Daniels,placed on IR with shoulder injury
2008-08-11,Steelers,• Casey Hampton,,activated from physically unable to perform list
2008-08-11,Vikings,,• Heath Farwell,placed on IR with torn ACL in right knee
2008-08-11,Vikings,,• Jayme Mitchell,placed on IR with left knee injury
2008-08-11,Vikings,,• Mike Jones,placed on IR with shoulder injury
2008-08-11,Eagles,,• Shawn Andrews,placed on physically unable to perform list with illness
2008-08-11,Lions,,• Stanley Wilson (b),placed on IR with torn Achilles tendon (out for season)
2008-08-11,Patriots,• Mike Wright (c),,activated from physically unable to perform list
2008-08-12,Colts,,• Michael Coe,placed on IR with surgery on left knee
2008-08-12,Colts,,• Tom Santi,placed on physically unable to perform list with infected bursa sac in knee
2008-08-14,Giants,,• Shane Olivea,placed on IR with back injury
2008-08-15,Patriots,,• Barry Stokes,placed on IR with back injury
2008-08-16,Bengals,,• Justin Britt (a),placed on IR with shoulder injury
2008-08-16,Giants,,• Antonio Reynolds,placed on IR with hamstring injury
2008-08-18,Rams,,• Brandon Gorin,placed on IR with shoulder injury
2008-08-18,Rams,,• Mark Setterstrom,placed on IR with fractured left kneecap
2008-08-18,Texans,,• Fred Weary (Edward),placed on IR with right leg injury (lingering problems from previous broken leg)
2008-08-18,Vikings,,• Kenderick Allen,placed on IR with right wrist injury
2008-08-19,Lions,,• Jon Bradley,placed on IR with shoulder injury
2008-08-19,Packers,,• Evan Moore,placed on IR with knee injury
2008-08-20,Chargers,• Antonio Gates,,activated from physically unable to perform list
2008-08-21,Bengals,,• Ethan Kilmer,placed on IR with thigh injury
2008-08-22,Bengals,,• Marcus Maxwell,placed on IR with thigh injury
2008-08-24,Texans,,• Harry Williams Jr.,placed on IR recovering from surgery on neck to repair fractured vertebra
2008-08-25,Packers,,• Justin Harrell,placed on physically unable to perform list recovering from surgery on back
2008-08-25,Panthers,,• Jason Carter,placed on IR with torn ACL in knee
2008-08-25,Raiders,,• Drew Carter,placed on IR with left knee injury
2008-08-25,Raiders,,• John Bowie,placed on IR with knee injury
2008-08-25,Raiders,,• Oren O'Neal,placed on IR with left knee injury
2008-08-26,Browns,,• Joe Jurevicius,placed on physically unable to perform list recovering from surgery on knee
2008-08-26,Browns,,• Kevin Kasper,placed on IR with neck injury
2008-08-26,Buccaneers,,• Carnell Williams / Cadillac Williams,placed on physically unable to perform list with knee injury
2008-08-26,Chiefs,,• Kevin Robinson (b),placed on physically unable to perform list with knee injury
2008-08-26,Colts,,• T.J. Rushing,placed on IR with knee injury
2008-08-26,Colts,,• Zac Herold,placed on IR with knee injury
2008-08-26,Eagles,,• Jack Ikegwuonu,placed on physically unable to perform list with knee injury (non-football injury list per PFW)
2008-08-26,Falcons,,• Renardo Foster,placed on physically unable to perform list recovering from torn ACL in left knee
2008-08-26,Falcons,,• Trey Lewis,placed on physically unable to perform list (non-football injury list per E PFW)
2008-08-26,Giants,,• David Tyree,placed on physically unable to perform list recovering from surgery on right knee
2008-08-26,Giants,,• Osi Umenyiora,placed on IR recovering from surgery on left knee to repair torn lateral meniscus
2008-08-26,Jets,,• Jason Trusnik,placed on physically unable to perform list
2008-08-26,Patriots,,• Ryan O'Callaghan,placed on IR with shoulder injury
2008-08-26,Patriots,,• Stephen Neal,placed on physically unable to perform list
2008-08-26,Rams,,• Justin King,placed on IR with torn ligament in left big toe (out for season)
2008-08-26,Ravens,,• Dwan Edwards,placed on IR with back injury
2008-08-26,Ravens,,• Kelly Talavou,placed on IR with shoulder injury
2008-08-26,Ravens,,• Terrance Martin / Terrence Martin,placed on IR
2008-08-26,Ravens,,• Terrence Melton,placed on IR with hand injury
2008-08-26,Seahawks,,• Tyler Schmitt,placed on IR with back injury
2008-08-26,Seahawks,,• Will Herring,placed on physically unable to perform list
2008-08-26,Seahawks,,• William Robinson / Will Robinson,placed on IR
2008-08-26,Texans,,• Dunta Robinson,placed on physically unable to perform list with torn ACL in knee
2008-08-26,Texans,,• Scott Jackson,placed on IR with left foot injury
2008-08-26,Titans,,• Rafael Little,placed on physically unable to perform list with torn ACL in knee
2008-08-28,Jaguars,,• George Wrighster,placed on physically unable to perform list
2008-08-29,Saints,,• Adrian Arrington,placed on IR with turf toe
2008-08-30,49ers,,• Jay Moore,placed on IR with biceps injury
2008-08-30,Bengals,,• Matt Sherry,placed on IR with shoulder injury
2008-08-30,Broncos,,• Anthony Alridge,placed on IR with left foot injury
2008-08-30,Broncos,,• Cecil Sapp,placed on IR with quadriceps injury
2008-08-30,Browns,,• Lennie Friedman,placed on IR
2008-08-30,Buccaneers,,• Cortez Hankton,placed on IR with hip flexor injury
2008-08-30,Chargers,,• Scott Chandler,placed on IR with toe injury
2008-08-30,Chiefs,,• Michael Merritt,placed on non-football injury list
2008-08-30,Colts,,• J.J. Milan,placed on IR
2008-08-30,Colts,,• Ryan Lilja,placed on physically unable to perform list with knee injury
2008-08-30,Colts,,• Tyjuan Hagler,placed on physically unable to perform list with torn pectoral muscle
2008-08-30,Cowboys,,• Larry Allen (Christopher),placed on retired list
2008-08-30,Eagles,,• King Dunlap (David),placed on IR with ankle injury
2008-08-30,Eagles,,• Mike Gibson,placed on IR with shoulder injury
2008-08-30,Falcons,,• Thomas Brown (c),placed on IR with groin injury
2008-08-30,Giants,,• Anthony Wright,placed on IR with neck injury
2008-08-30,Giants,,• Glenn Bujnoch / Digger Bujnoch,placed on IR with sprained knee
2008-08-30,Giants,,• Guy Whimper,placed on IR with broken foot
2008-08-30,Jaguars,,• Jonathan Lewis,placed on IR with knee injury
2008-08-30,Jets,,• Cameron Worrell,placed on IR with shoulder injury
2008-08-30,Lions,,• Aveion Cason,placed on IR with ankle injury
2008-08-30,Lions,,• Brian Calhoun,placed on IR with thigh injury
2008-08-30,Packers,,• J.J. Jansen,placed on IR with knee injury
2008-08-30,Packers,,• Junius Coston,placed on IR with knee injury
2008-08-30,Packers,,• Rodney Allen (b),placed on IR
2008-08-30,Patriots,,• Bo Ruud,placed on IR with ankle injury
2008-08-30,Patriots,,• Kenny Smith (b. 1977-09-08),placed on IR with arm injury
2008-08-30,Patriots,,• Oliver Ross (Calvin),placed on non-football injury list with shoulder injury
2008-08-30,Raiders,,• Arman Shields,placed on IR with knee injury
2008-08-30,Ravens,,• Cory Ross,placed on IR with sprained right ankle
2008-08-30,Ravens,,• David Pittman,placed on IR
2008-08-30,Saints,,• Greg Fassitt,placed on IR with knee injury
2008-08-30,Seahawks,,• Ben Obomanu,placed on IR with broken collarbone
2008-08-30,Seahawks,,• Chris Cooper (Lyle),placed on IR with leg injury
2008-08-30,Steelers,,• Charlie Batch,placed on IR with broken collarbone
2008-08-30,Texans,,• Chris Brown (Rejean),placed on IR with back injury
2008-08-30,Vikings,,• Michael Boulware,placed on IR with broken wrist
2008-08-31,Bengals,,• Dan Santucci,placed on IR with high ankle sprain
2008-08-31,Colts,,• Ryan Lilja,placed on IR with knee injury
2008-08-31,Jaguars,,• Chad Nkang,placed on physically unable to perform list
2008-08-31,Patriots,,• Oliver Ross (Calvin),placed on IR with shoulder injury
2008-09-01,Chargers,,• Cory Withrow,placed on IR with hamstring injury
2008-09-01,Jaguars,• Jerry Porter,,activated from physically unable to perform list with hamstring injury
2008-09-02,Ravens,,• Justin Harper,placed on practice squad IR
2008-09-03,Bengals,,• Jeremi Johnson,placed on IR with knee injury
2008-09-03,Ravens,,• Kyle Boller,placed on IR with shoulder injury
2008-09-04,Bills,,• Angelo Crowell,placed on IR with left knee injury
2008-09-04,Browns,,• Antwan Peek,placed on IR with ruptured patellar tendon in right knee
2008-09-04,Jaguars,,• Richard Collier,placed on reserve/non-football injury list with gunshot wounds
2008-09-04,Broncos,• Cecil Sapp,,activated from IR
2008-09-06,Cardinals,,• Al Johnson,placed on IR with left knee injury
