Date,Team,Acquired,Relinquished,Notes
1967-12-07,Lions,,• Ron Kramer,placed on IR with back injury and sore ribs
1967-12-30,Broncos (AFL),,• Bob Young (A.),placed on IR
1968-02-01,Broncos (AFL),• Bob Young (A.),,activated from IR
1968-07-28,Patriots (AFL),• Bob Cappadona,,returned from National Guard duty
1968-07-28,Patriots (AFL),• Jon Morris,,returned from National Guard duty
1968-07-28,Patriots (AFL),• Karl Singer,,returned from National Guard duty
1968-08-05,Rams,,• Mike LaHood,left team for 6 months duty in Army
1968-08-05,Vikings,,• Bob Breitenstein,placed on IR
1968-08-12,Steelers,,• Dick Shiner,placed on injured list
1968-08-13,Packers,,• Bob Brown (Eddie),placed on injured list
1968-08-14,Jets (AFL),,• Steve Thompson (Merall),placed on injured list
1968-08-19,Steelers,,• Don Shy,placed on IR
1968-08-27,Cardinals,,• Dan Goich / Danny Goich,placed on IR
1968-08-28,Cardinals,,• Jerry Stovall,placed on IR
1968-09-03,Redskins,,• Mitch Johnson,placed on IR
1968-09-27,Bears,,• Bob Jones (b),placed on inactive list
1968-09-27,Chargers (AFL),,• Brad Hubbert,placed on IR
1968-09-27,Steelers,• Don Shy,,activated from IR
1968-10-10,Redskins,• Willie Banks,,"""activated"""
1968-11-11,Packers,,• Bob Brown (Eddie),placed on IR with fractured leg
1968-11-22,Packers,• Francis Winkler / Fran Winkler,,"""activated"""
1968-12-01,Packers,,• Francis Winkler / Fran Winkler,placed on inactive list
1968-12-01,Packers,,• Phil Vandersea,placed on inactive list
1968-12-01,Packers,• Leo Carroll,,"""activated"""
1969-07-31,Colts,,• Jacky Stewart,placed on IR
1969-07-31,Colts,,• Jerry Hill (b. 1939-10-12),placed on IR
1969-07-31,Colts,,• Jim Ward (Edgar Harold),placed on IR
1969-07-31,Colts,,• Marion Griffin,placed on IR
1969-08-01,Packers,,• Claudis James,placed on IR
1969-08-30,Packers,,• Dave Bradley,placed on IR
1969-09-01,Redskins,,• Ulmo Randle / Sonny Randle,placed on IR (date approximate)
1969-09-03,Packers,,• Jim Weatherwax,placed on IR
